key	value	date
AA	140	2003
AA	157	2004
AA	172	2005
AA	135	2006
AA	157	2007
AA	126	2008
AA	138	2009
AA	146	2010
AA	89	2011
AA	137	2012
AA	163	2013
AA	184	2014
AA	317	2015
AA	259	2016
AS	16	2003
AS	18	2004
AS	17	2005
AS	14	2006
AS	27	2007
AS	20	2008
AS	7	2009
AS	7	2010
AS	4	2011
AS	3	2012
AS	9	2013
AS	11	2014
AS	35	2015
AS	58	2016
AAS	135	2003
AAS	156	2004
AAS	163	2005
AAS	165	2006
AAS	198	2007
AAS	168	2008
AAS	204	2009
AAS	208	2010
AAS	193	2011
AAS	296	2012
AAS	270	2013
AAS	215	2014
AAS	168	2015
AAS	92	2016
AGS	2	2003
AGS	4	2004
AGS	2	2005
AGS	1	2006
AGS	0	2007
AGS	3	2008
AGS	5	2009
AGS	8	2010
AGS	7	2011
AGS	26	2012
AGS	29	2013
AGS	43	2014
AGS	94	2015
AGS	94	2016
AES	6	2003
AES	5	2004
AES	8	2005
AES	2	2006
AES	1	2007
AES	7	2008
AES	1	2009
AES	6	2010
AES	1	2011
AES	2	2012
AES	14	2013
AES	4	2014
AES	8	2015
AES	4	2016
