key	value	date
AA	80	2003
AA	68	2004
AA	89	2005
AA	67	2006
AA	69	2007
AA	38	2008
AA	78	2009
AA	79	2010
AA	90	2011
AA	128	2012
AA	142	2013
AA	147	2014
AA	186	2015
AA	193	2016
AS	6	2003
AS	2	2004
AS	2	2005
AS	3	2006
AS	6	2007
AS	5	2008
AS	3	2009
AS	4	2010
AS	6	2011
AS	9	2012
AS	8	2013
AS	7	2014
AS	35	2015
AS	49	2016
AAS	138	2003
AAS	132	2004
AAS	136	2005
AAS	149	2006
AAS	133	2007
AAS	55	2008
AAS	114	2009
AAS	158	2010
AAS	113	2011
AAS	203	2012
AAS	153	2013
AAS	207	2014
AAS	214	2015
AAS	221	2016
AGS	18	2003
AGS	22	2004
AGS	28	2005
AGS	30	2006
AGS	33	2007
AGS	26	2008
AGS	36	2009
AGS	36	2010
AGS	42	2011
AGS	82	2012
AGS	107	2013
AGS	106	2014
AGS	130	2015
AGS	69	2016
