key	value	date
AA	50	2003
AA	70	2004
AA	90	2005
AA	84	2006
AA	90	2007
AA	91	2008
AA	76	2009
AA	82	2010
AA	105	2011
AA	124	2012
AA	116	2013
AA	125	2014
AA	112	2015
AA	102	2016
AS	20	2003
AS	28	2004
AS	23	2005
AS	33	2006
AS	27	2007
AS	18	2008
AS	27	2009
AS	19	2010
AS	17	2011
AS	221	2012
AS	199	2013
AS	161	2014
AS	159	2015
AS	124	2016
AAS	113	2003
AAS	147	2004
AAS	167	2005
AAS	163	2006
AAS	175	2007
AAS	134	2008
AAS	169	2009
AAS	161	2010
AAS	175	2011
AAS	60	2012
AAS	71	2013
AAS	157	2014
AAS	181	2015
AAS	159	2016
AGS	8	2003
AGS	7	2004
AGS	16	2005
AGS	5	2006
AGS	12	2007
AGS	9	2008
AGS	9	2009
AGS	12	2010
AGS	39	2011
AGS	0	2012
AGS	0	2013
AGS	0	2014
AGS	0	2015
AGS	0	2016
