key	value	date
AA	77	2003
AA	83	2004
AA	79	2005
AA	65	2006
AA	78	2007
AA	78	2008
AA	96	2009
AA	101	2010
AA	119	2011
AA	163	2012
AA	146	2013
AA	172	2014
AA	218	2015
AA	223	2016
AS	29	2003
AS	29	2004
AS	25	2005
AS	25	2006
AS	36	2007
AS	30	2008
AS	35	2009
AS	23	2010
AS	26	2011
AS	37	2012
AS	40	2013
AS	49	2014
AS	92	2015
AS	164	2016
AAS	88	2003
AAS	86	2004
AAS	78	2005
AAS	90	2006
AAS	116	2007
AAS	81	2008
AAS	133	2009
AAS	203	2010
AAS	187	2011
AAS	218	2012
AAS	243	2013
AAS	190	2014
AAS	222	2015
AAS	221	2016
AGS	25	2003
AGS	10	2004
AGS	11	2005
AGS	11	2006
AGS	13	2007
AGS	13	2008
AGS	15	2009
AGS	16	2010
AGS	13	2011
AGS	34	2012
AGS	228	2013
AGS	377	2014
AGS	165	2015
AGS	152	2016
AES	0	2003
AES	0	2004
AES	0	2005
AES	0	2006
AES	0	2007
AES	1	2008
AES	0	2009
AES	0	2010
AES	0	2011
AES	0	2012
AES	1	2013
AES	3	2014
AES	1	2015
AES	2	2016
AFA	0	2003
AFA	0	2004
AFA	0	2005
AFA	0	2006
AFA	0	2007
AFA	0	2008
AFA	0	2009
AFA	0	2010
AFA	0	2011
AFA	0	2012
AFA	0	2013
AFA	1	2014
AFA	0	2015
AFA	0	2016
