key	value	date
AA	128	2003
AA	161	2004
AA	178	2005
AA	162	2006
AA	207	2007
AA	181	2008
AA	212	2009
AA	264	2010
AA	264	2011
AA	313	2012
AA	320	2013
AA	371	2014
AA	597	2015
AA	631	2016
AS	12	2003
AS	18	2004
AS	15	2005
AS	14	2006
AS	23	2007
AS	22	2008
AS	25	2009
AS	23	2010
AS	29	2011
AS	26	2012
AS	30	2013
AS	58	2014
AS	128	2015
AS	186	2016
AAS	79	2003
AAS	100	2004
AAS	86	2005
AAS	86	2006
AAS	97	2007
AAS	45	2008
AAS	66	2009
AAS	46	2010
AAS	61	2011
AAS	55	2012
AAS	67	2013
AAS	77	2014
AAS	57	2015
AAS	78	2016
AGS	34	2003
AGS	12	2004
AGS	22	2005
AGS	33	2006
AGS	42	2007
AGS	26	2008
AGS	36	2009
AGS	45	2010
AGS	67	2011
AGS	125	2012
AGS	207	2013
AGS	332	2014
AGS	271	2015
AGS	231	2016
AES	3	2003
AES	1	2004
AES	4	2005
AES	0	2006
AES	4	2007
AES	3	2008
AES	4	2009
AES	4	2010
AES	2	2011
AES	2	2012
AES	3	2013
AES	1	2014
AES	1	2015
AES	2	2016
AFA	3	2003
AFA	1	2004
AFA	1	2005
AFA	1	2006
AFA	2	2007
AFA	4	2008
AFA	2	2009
AFA	0	2010
AFA	2	2011
AFA	1	2012
AFA	4	2013
AFA	8	2014
AFA	3	2015
AFA	5	2016
