date	value	key
1996	250	AA
1997	416	AA
1998	415	AA
1999	255	AA
2000	273	AA
2001	219	AA
2002	269	AA
2003	264	AA
2004	279	AA
2005	251	AA
2006	266	AA
2007	281	AA
2008	268	AA
2009	237	AA
2010	228	AA
2011	197	AA
2012	230	AA
2013	233	AA
2014	256	AA
2015	221	AA
2016	226	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	2	AAT
2011	2	AAT
2012	3	AAT
2013	3	AAT
2014	0	AAT
2015	0	AAT
2016	1	AAT
1996	65	AS
1997	307	AS
1998	271	AS
1999	76	AS
2000	64	AS
2001	88	AS
2002	82	AS
2003	80	AS
2004	79	AS
2005	100	AS
2006	90	AS
2007	96	AS
2008	87	AS
2009	86	AS
2010	80	AS
2011	75	AS
2012	118	AS
2013	122	AS
2014	152	AS
2015	127	AS
2016	129	AS
1996	258	AAPS
1997	473	AAPS
1998	456	AAPS
1999	220	AAPS
2000	261	AAPS
2001	205	AAPS
2002	182	AAPS
2003	215	AAPS
2004	190	AAPS
2005	222	AAPS
2006	243	AAPS
2007	225	AAPS
2008	214	AAPS
2009	206	AAPS
2010	196	AAPS
2011	194	AAPS
2012	185	AAPS
2013	211	AAPS
2014	258	AAPS
2015	222	AAPS
2016	200	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	22	AGS
1997	0	AGS
1998	0	AGS
1999	26	AGS
2000	11	AGS
2001	7	AGS
2002	17	AGS
2003	17	AGS
2004	14	AGS
2005	5	AGS
2006	11	AGS
2007	5	AGS
2008	6	AGS
2009	4	AGS
2010	2	AGS
2011	4	AGS
2012	4	AGS
2013	0	AGS
2014	1	AGS
2015	1	AGS
2016	3	AGS
