date	value	key
1996	761	AA
1997	261	AA
1998	236	AA
1999	744	AA
2000	809	AA
2001	739	AA
2002	713	AA
2003	741	AA
2004	903	AA
2005	958	AA
2006	865	AA
2007	980	AA
2008	919	AA
2009	1019	AA
2010	1111	AA
2011	1115	AA
2012	1360	AA
2013	1410	AA
2014	1523	AA
2015	2099	AA
2016	2073	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	8	AES
2000	1	AES
2001	2	AES
2002	9	AES
2003	15	AES
2004	11	AES
2005	19	AES
2006	8	AES
2007	11	AES
2008	18	AES
2009	14	AES
2010	12	AES
2011	13	AES
2012	8	AES
2013	25	AES
2014	27	AES
2015	19	AES
2016	18	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	1	AFA
2003	0	AFA
2004	0	AFA
2005	1	AFA
2006	3	AFA
2007	3	AFA
2008	4	AFA
2009	3	AFA
2010	0	AFA
2011	4	AFA
2012	1	AFA
2013	5	AFA
2014	11	AFA
2015	4	AFA
2016	5	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	1	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	481	AS
1997	81	AS
1998	78	AS
1999	179	AS
2000	132	AS
2001	126	AS
2002	98	AS
2003	110	AS
2004	144	AS
2005	141	AS
2006	135	AS
2007	173	AS
2008	170	AS
2009	201	AS
2010	134	AS
2011	164	AS
2012	175	AS
2013	213	AS
2014	254	AS
2015	574	AS
2016	889	AS
1996	1141	AAPS
1997	280	AAPS
1998	266	AAPS
1999	785	AAPS
2000	707	AAPS
2001	528	AAPS
2002	571	AAPS
2003	630	AAPS
2004	761	AAPS
2005	769	AAPS
2006	787	AAPS
2007	845	AAPS
2008	607	AAPS
2009	956	AAPS
2010	1141	AAPS
2011	950	AAPS
2012	1262	AAPS
2013	1228	AAPS
2014	1106	AAPS
2015	1068	AAPS
2016	980	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	245	AGS
1997	25	AGS
1998	10	AGS
1999	210	AGS
2000	307	AGS
2001	188	AGS
2002	160	AGS
2003	87	AGS
2004	65	AGS
2005	82	AGS
2006	86	AGS
2007	110	AGS
2008	85	AGS
2009	168	AGS
2010	158	AGS
2011	248	AGS
2012	517	AGS
2013	897	AGS
2014	1429	AGS
2015	1186	AGS
2016	1047	AGS
