date	value	key
1996	44	AA
1997	832	AA
1998	927	AA
1999	57	AA
2000	60	AA
2001	25	AA
2002	6	AA
2003	2	AA
2004	1	AA
2005	0	AA
2006	0	AA
2007	0	AA
2008	0	AA
2009	0	AA
2010	0	AA
2011	0	AA
2012	0	AA
2013	0	AA
2014	0	AA
2015	0	AA
2016	0	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	3	AES
2001	1	AES
2002	2	AES
2003	0	AES
2004	8	AES
2005	3	AES
2006	1	AES
2007	2	AES
2008	4	AES
2009	4	AES
2010	1	AES
2011	0	AES
2012	3	AES
2013	3	AES
2014	2	AES
2015	2	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	1	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	41	AS
1997	499	AS
1998	193	AS
1999	60	AS
2000	59	AS
2001	35	AS
2002	12	AS
2003	5	AS
2004	0	AS
2005	1	AS
2006	0	AS
2007	0	AS
2008	0	AS
2009	0	AS
2010	0	AS
2011	0	AS
2012	0	AS
2013	0	AS
2014	0	AS
2015	0	AS
2016	0	AS
1996	121	AAPS
1997	978	AAPS
1998	868	AAPS
1999	125	AAPS
2000	150	AAPS
2001	155	AAPS
2002	117	AAPS
2003	113	AAPS
2004	93	AAPS
2005	90	AAPS
2006	105	AAPS
2007	107	AAPS
2008	134	AAPS
2009	122	AAPS
2010	137	AAPS
2011	142	AAPS
2012	166	AAPS
2013	132	AAPS
2014	164	AAPS
2015	130	AAPS
2016	155	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	17	AAS
2001	61	AAS
2002	103	AAS
2003	88	AAS
2004	93	AAS
2005	123	AAS
2006	75	AAS
2007	109	AAS
2008	110	AAS
2009	101	AAS
2010	97	AAS
2011	110	AAS
2012	107	AAS
2013	138	AAS
2014	134	AAS
2015	134	AAS
2016	148	AAS
1996	0	AGS
1997	198	AGS
1998	218	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	9	AGS
2007	23	AGS
2008	22	AGS
2009	16	AGS
2010	14	AGS
2011	26	AGS
2012	28	AGS
2013	53	AGS
2014	42	AGS
2015	29	AGS
2016	56	AGS
