date	value	key
1996	797	AA
1997	41	AA
1998	63	AA
1999	738	AA
2000	773	AA
2001	742	AA
2002	660	AA
2003	766	AA
2004	828	AA
2005	878	AA
2006	775	AA
2007	666	AA
2008	652	AA
2009	688	AA
2010	739	AA
2011	715	AA
2012	771	AA
2013	794	AA
2014	930	AA
2015	1021	AA
2016	1034	AA
1996	9	AES
1997	0	AES
1998	0	AES
1999	4	AES
2000	6	AES
2001	9	AES
2002	8	AES
2003	11	AES
2004	10	AES
2005	7	AES
2006	7	AES
2007	5	AES
2008	7	AES
2009	7	AES
2010	8	AES
2011	10	AES
2012	14	AES
2013	15	AES
2014	27	AES
2015	40	AES
2016	33	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	5	AFA
2011	8	AFA
2012	13	AFA
2013	11	AFA
2014	15	AFA
2015	8	AFA
2016	12	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	3	AAT
2013	0	AAT
2014	1	AAT
2015	5	AAT
2016	3	AAT
1996	206	AS
1997	50	AS
1998	61	AS
1999	185	AS
2000	135	AS
2001	131	AS
2002	104	AS
2003	133	AS
2004	121	AS
2005	128	AS
2006	105	AS
2007	98	AS
2008	130	AS
2009	136	AS
2010	122	AS
2011	123	AS
2012	172	AS
2013	232	AS
2014	294	AS
2015	378	AS
2016	341	AS
1996	564	AAPS
1997	112	AAPS
1998	139	AAPS
1999	502	AAPS
2000	547	AAPS
2001	534	AAPS
2002	525	AAPS
2003	666	AAPS
2004	702	AAPS
2005	815	AAPS
2006	822	AAPS
2007	626	AAPS
2008	569	AAPS
2009	639	AAPS
2010	658	AAPS
2011	695	AAPS
2012	757	AAPS
2013	764	AAPS
2014	791	AAPS
2015	891	AAPS
2016	892	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	84	AGS
1997	0	AGS
1998	0	AGS
1999	101	AGS
2000	97	AGS
2001	119	AGS
2002	90	AGS
2003	120	AGS
2004	122	AGS
2005	168	AGS
2006	145	AGS
2007	133	AGS
2008	126	AGS
2009	160	AGS
2010	145	AGS
2011	174	AGS
2012	182	AGS
2013	183	AGS
2014	390	AGS
2015	544	AGS
2016	431	AGS
