date	value	key
1996	204	AA
1997	807	AA
1998	841	AA
1999	292	AA
2000	276	AA
2001	295	AA
2002	325	AA
2003	364	AA
2004	338	AA
2005	351	AA
2006	351	AA
2007	323	AA
2008	345	AA
2009	375	AA
2010	427	AA
2011	427	AA
2012	496	AA
2013	524	AA
2014	466	AA
2015	529	AA
2016	522	AA
1996	0	AES
1997	9	AES
1998	12	AES
1999	0	AES
2000	2	AES
2001	2	AES
2002	9	AES
2003	2	AES
2004	10	AES
2005	6	AES
2006	7	AES
2007	0	AES
2008	7	AES
2009	3	AES
2010	8	AES
2011	3	AES
2012	15	AES
2013	14	AES
2014	14	AES
2015	19	AES
2016	26	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	1	AFA
2000	1	AFA
2001	0	AFA
2002	2	AFA
2003	2	AFA
2004	3	AFA
2005	6	AFA
2006	5	AFA
2007	0	AFA
2008	7	AFA
2009	5	AFA
2010	5	AFA
2011	1	AFA
2012	3	AFA
2013	7	AFA
2014	11	AFA
2015	9	AFA
2016	5	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	192	AS
1997	186	AS
1998	211	AS
1999	190	AS
2000	185	AS
2001	135	AS
2002	118	AS
2003	114	AS
2004	113	AS
2005	103	AS
2006	102	AS
2007	76	AS
2008	106	AS
2009	89	AS
2010	108	AS
2011	142	AS
2012	145	AS
2013	197	AS
2014	196	AS
2015	231	AS
2016	256	AS
1996	206	AAPS
1997	525	AAPS
1998	602	AAPS
1999	233	AAPS
2000	214	AAPS
2001	255	AAPS
2002	188	AAPS
2003	205	AAPS
2004	242	AAPS
2005	230	AAPS
2006	261	AAPS
2007	258	AAPS
2008	271	AAPS
2009	308	AAPS
2010	319	AAPS
2011	375	AAPS
2012	422	AAPS
2013	387	AAPS
2014	366	AAPS
2015	369	AAPS
2016	389	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	4	AGS
1997	70	AGS
1998	92	AGS
1999	5	AGS
2000	9	AGS
2001	7	AGS
2002	7	AGS
2003	38	AGS
2004	28	AGS
2005	39	AGS
2006	47	AGS
2007	34	AGS
2008	35	AGS
2009	43	AGS
2010	53	AGS
2011	67	AGS
2012	76	AGS
2013	43	AGS
2014	41	AGS
2015	42	AGS
2016	23	AGS
