date	value	key
1996	585	AA
1997	231	AA
1998	249	AA
1999	648	AA
2000	624	AA
2001	652	AA
2002	629	AA
2003	611	AA
2004	642	AA
2005	680	AA
2006	820	AA
2007	790	AA
2008	794	AA
2009	764	AA
2010	763	AA
2011	883	AA
2012	1027	AA
2013	1023	AA
2014	937	AA
2015	892	AA
2016	921	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	1	AES
2000	3	AES
2001	4	AES
2002	1	AES
2003	0	AES
2004	1	AES
2005	4	AES
2006	0	AES
2007	8	AES
2008	4	AES
2009	2	AES
2010	4	AES
2011	2	AES
2012	2	AES
2013	6	AES
2014	3	AES
2015	9	AES
2016	15	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	7	AFA
2000	7	AFA
2001	9	AFA
2002	5	AFA
2003	13	AFA
2004	3	AFA
2005	7	AFA
2006	7	AFA
2007	6	AFA
2008	5	AFA
2009	5	AFA
2010	6	AFA
2011	6	AFA
2012	3	AFA
2013	7	AFA
2014	5	AFA
2015	7	AFA
2016	6	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	1	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	174	AS
1997	234	AS
1998	246	AS
1999	59	AS
2000	30	AS
2001	13	AS
2002	23	AS
2003	22	AS
2004	37	AS
2005	33	AS
2006	11	AS
2007	27	AS
2008	16	AS
2009	34	AS
2010	83	AS
2011	101	AS
2012	128	AS
2013	115	AS
2014	138	AS
2015	159	AS
2016	166	AS
1996	335	AAPS
1997	224	AAPS
1998	275	AAPS
1999	388	AAPS
2000	428	AAPS
2001	282	AAPS
2002	306	AAPS
2003	379	AAPS
2004	352	AAPS
2005	398	AAPS
2006	494	AAPS
2007	645	AAPS
2008	438	AAPS
2009	457	AAPS
2010	376	AAPS
2011	440	AAPS
2012	452	AAPS
2013	490	AAPS
2014	458	AAPS
2015	485	AAPS
2016	417	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	2	AGS
1998	0	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	5	AGS
2009	9	AGS
2010	37	AGS
2011	24	AGS
2012	31	AGS
2013	33	AGS
2014	231	AGS
2015	68	AGS
2016	86	AGS
