date	value	key
1996	147	AA
1997	601	AA
1998	697	AA
1999	252	AA
2000	260	AA
2001	270	AA
2002	345	AA
2003	390	AA
2004	441	AA
2005	396	AA
2006	427	AA
2007	427	AA
2008	380	AA
2009	413	AA
2010	455	AA
2011	484	AA
2012	460	AA
2013	409	AA
2014	465	AA
2015	429	AA
2016	469	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	3	AES
2003	2	AES
2004	2	AES
2005	3	AES
2006	0	AES
2007	3	AES
2008	0	AES
2009	0	AES
2010	2	AES
2011	1	AES
2012	9	AES
2013	3	AES
2014	7	AES
2015	3	AES
2016	2	AES
1996	0	AFA
1997	0	AFA
1998	3	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	38	AS
1997	176	AS
1998	26	AS
1999	59	AS
2000	50	AS
2001	50	AS
2002	45	AS
2003	71	AS
2004	52	AS
2005	68	AS
2006	80	AS
2007	73	AS
2008	59	AS
2009	63	AS
2010	101	AS
2011	92	AS
2012	114	AS
2013	102	AS
2014	142	AS
2015	136	AS
2016	140	AS
1996	27	AAPS
1997	321	AAPS
1998	398	AAPS
1999	38	AAPS
2000	37	AAPS
2001	38	AAPS
2002	60	AAPS
2003	47	AAPS
2004	33	AAPS
2005	60	AAPS
2006	75	AAPS
2007	63	AAPS
2008	63	AAPS
2009	70	AAPS
2010	82	AAPS
2011	97	AAPS
2012	94	AAPS
2013	93	AAPS
2014	86	AAPS
2015	70	AAPS
2016	85	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	0	AGS
1998	0	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	0	AGS
