date	value	key
1996	47	AA
1997	208	AA
1998	194	AA
1999	69	AA
2000	72	AA
2001	88	AA
2002	96	AA
2003	90	AA
2004	106	AA
2005	116	AA
2006	103	AA
2007	109	AA
2008	112	AA
2009	93	AA
2010	123	AA
2011	116	AA
2012	122	AA
2013	119	AA
2014	90	AA
2015	90	AA
2016	70	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	6	AES
2000	6	AES
2001	4	AES
2002	3	AES
2003	3	AES
2004	7	AES
2005	4	AES
2006	4	AES
2007	3	AES
2008	5	AES
2009	2	AES
2010	2	AES
2011	7	AES
2012	5	AES
2013	2	AES
2014	8	AES
2015	4	AES
2016	8	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	1	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	1	AAT
2015	0	AAT
2016	0	AAT
1996	91	AS
1997	46	AS
1998	55	AS
1999	114	AS
2000	93	AS
2001	71	AS
2002	63	AS
2003	71	AS
2004	55	AS
2005	56	AS
2006	74	AS
2007	62	AS
2008	77	AS
2009	75	AS
2010	73	AS
2011	72	AS
2012	78	AS
2013	72	AS
2014	84	AS
2015	79	AS
2016	74	AS
1996	57	AAPS
1997	37	AAPS
1998	37	AAPS
1999	30	AAPS
2000	34	AAPS
2001	80	AAPS
2002	91	AAPS
2003	88	AAPS
2004	91	AAPS
2005	88	AAPS
2006	77	AAPS
2007	66	AAPS
2008	81	AAPS
2009	81	AAPS
2010	113	AAPS
2011	139	AAPS
2012	149	AAPS
2013	141	AAPS
2014	110	AAPS
2015	86	AAPS
2016	90	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	7	AGS
1997	0	AGS
1998	0	AGS
1999	15	AGS
2000	9	AGS
2001	8	AGS
2002	8	AGS
2003	7	AGS
2004	10	AGS
2005	7	AGS
2006	10	AGS
2007	11	AGS
2008	16	AGS
2009	11	AGS
2010	8	AGS
2011	7	AGS
2012	7	AGS
2013	12	AGS
2014	11	AGS
2015	16	AGS
2016	22	AGS
