date	value	key
1996	0	AA
1997	54	AA
1998	71	AA
1999	0	AA
2000	0	AA
2001	0	AA
2002	0	AA
2003	0	AA
2004	0	AA
2005	0	AA
2006	0	AA
2007	0	AA
2008	0	AA
2009	0	AA
2010	0	AA
2011	0	AA
2012	0	AA
2013	68	AA
2014	182	AA
2015	153	AA
2016	170	AA
1996	14	AES
1997	0	AES
1998	2	AES
1999	18	AES
2000	16	AES
2001	12	AES
2002	7	AES
2003	13	AES
2004	8	AES
2005	4	AES
2006	9	AES
2007	12	AES
2008	13	AES
2009	17	AES
2010	22	AES
2011	16	AES
2012	26	AES
2013	25	AES
2014	30	AES
2015	28	AES
2016	18	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	0	AS
1997	115	AS
1998	114	AS
1999	0	AS
2000	0	AS
2001	0	AS
2002	0	AS
2003	0	AS
2004	0	AS
2005	0	AS
2006	0	AS
2007	0	AS
2008	0	AS
2009	0	AS
2010	0	AS
2011	0	AS
2012	0	AS
2013	229	AS
2014	475	AS
2015	501	AS
2016	527	AS
1996	469	AAPS
1997	62	AAPS
1998	47	AAPS
1999	477	AAPS
2000	421	AAPS
2001	490	AAPS
2002	421	AAPS
2003	444	AAPS
2004	410	AAPS
2005	485	AAPS
2006	474	AAPS
2007	477	AAPS
2008	456	AAPS
2009	452	AAPS
2010	528	AAPS
2011	531	AAPS
2012	577	AAPS
2013	498	AAPS
2014	471	AAPS
2015	423	AAPS
2016	417	AAPS
1996	526	AAS
1997	0	AAS
1998	0	AAS
1999	560	AAS
2000	561	AAS
2001	615	AAS
2002	545	AAS
2003	574	AAS
2004	577	AAS
2005	571	AAS
2006	668	AAS
2007	600	AAS
2008	591	AAS
2009	547	AAS
2010	618	AAS
2011	669	AAS
2012	662	AAS
2013	404	AAS
2014	17	AAS
2015	0	AAS
2016	0	AAS
1996	101	AGS
1997	5	AGS
1998	2	AGS
1999	115	AGS
2000	97	AGS
2001	102	AGS
2002	101	AGS
2003	101	AGS
2004	103	AGS
2005	87	AGS
2006	111	AGS
2007	126	AGS
2008	163	AGS
2009	146	AGS
2010	142	AGS
2011	143	AGS
2012	147	AGS
2013	169	AGS
2014	117	AGS
2015	131	AGS
2016	112	AGS
