date	value	key
1996	41	AA
1997	0	AA
1998	0	AA
1999	43	AA
2000	29	AA
2001	11	AA
2002	7	AA
2003	8	AA
2004	10	AA
2005	6	AA
2006	5	AA
2007	2	AA
2008	1	AA
2009	0	AA
2010	0	AA
2011	0	AA
2012	1	AA
2013	0	AA
2014	0	AA
2015	0	AA
2016	1	AA
1996	0	AES
1997	8	AES
1998	14	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	1	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	1	AFA
2001	2	AFA
2002	1	AFA
2003	0	AFA
2004	2	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	1	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	331	AS
1997	0	AS
1998	0	AS
1999	349	AS
2000	384	AS
2001	279	AS
2002	156	AS
2003	152	AS
2004	137	AS
2005	118	AS
2006	106	AS
2007	104	AS
2008	90	AS
2009	93	AS
2010	79	AS
2011	49	AS
2012	52	AS
2013	51	AS
2014	53	AS
2015	71	AS
2016	57	AS
1996	379	AAPS
1997	363	AAPS
1998	519	AAPS
1999	403	AAPS
2000	359	AAPS
2001	386	AAPS
2002	413	AAPS
2003	346	AAPS
2004	328	AAPS
2005	335	AAPS
2006	314	AAPS
2007	364	AAPS
2008	309	AAPS
2009	268	AAPS
2010	315	AAPS
2011	385	AAPS
2012	348	AAPS
2013	291	AAPS
2014	274	AAPS
2015	294	AAPS
2016	325	AAPS
1996	0	AAS
1997	466	AAS
1998	592	AAS
1999	0	AAS
2000	0	AAS
2001	121	AAS
2002	183	AAS
2003	225	AAS
2004	276	AAS
2005	295	AAS
2006	309	AAS
2007	286	AAS
2008	307	AAS
2009	311	AAS
2010	291	AAS
2011	315	AAS
2012	264	AAS
2013	275	AAS
2014	342	AAS
2015	261	AAS
2016	288	AAS
1996	43	AGS
1997	74	AGS
1998	132	AGS
1999	40	AGS
2000	80	AGS
2001	66	AGS
2002	58	AGS
2003	127	AGS
2004	83	AGS
2005	85	AGS
2006	83	AGS
2007	103	AGS
2008	78	AGS
2009	105	AGS
2010	94	AGS
2011	89	AGS
2012	88	AGS
2013	95	AGS
2014	121	AGS
2015	106	AGS
2016	88	AGS
