date	value	key
1996	176	AA
1997	37	AA
1998	31	AA
1999	187	AA
2000	171	AA
2001	172	AA
2002	158	AA
2003	137	AA
2004	101	AA
2005	101	AA
2006	128	AA
2007	111	AA
2008	90	AA
2009	112	AA
2010	111	AA
2011	132	AA
2012	102	AA
2013	107	AA
2014	97	AA
2015	87	AA
2016	115	AA
1996	4	AES
1997	0	AES
1998	0	AES
1999	3	AES
2000	2	AES
2001	2	AES
2002	5	AES
2003	2	AES
2004	0	AES
2005	3	AES
2006	1	AES
2007	2	AES
2008	2	AES
2009	3	AES
2010	5	AES
2011	3	AES
2012	3	AES
2013	2	AES
2014	0	AES
2015	5	AES
2016	6	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	8	AAT
2012	3	AAT
2013	1	AAT
2014	4	AAT
2015	0	AAT
2016	1	AAT
1996	93	AS
1997	332	AS
1998	332	AS
1999	81	AS
2000	81	AS
2001	77	AS
2002	163	AS
2003	176	AS
2004	176	AS
2005	168	AS
2006	211	AS
2007	224	AS
2008	163	AS
2009	215	AS
2010	225	AS
2011	222	AS
2012	246	AS
2013	228	AS
2014	234	AS
2015	214	AS
2016	249	AS
1996	153	AAPS
1997	371	AAPS
1998	333	AAPS
1999	116	AAPS
2000	119	AAPS
2001	118	AAPS
2002	103	AAPS
2003	101	AAPS
2004	126	AAPS
2005	142	AAPS
2006	164	AAPS
2007	137	AAPS
2008	142	AAPS
2009	149	AAPS
2010	158	AAPS
2011	178	AAPS
2012	195	AAPS
2013	195	AAPS
2014	160	AAPS
2015	140	AAPS
2016	138	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	63	AGS
1997	33	AGS
1998	34	AGS
1999	42	AGS
2000	46	AGS
2001	36	AGS
2002	19	AGS
2003	19	AGS
2004	11	AGS
2005	15	AGS
2006	15	AGS
2007	21	AGS
2008	13	AGS
2009	15	AGS
2010	17	AGS
2011	15	AGS
2012	23	AGS
2013	23	AGS
2014	16	AGS
2015	18	AGS
2016	9	AGS
