date	value	key
1996	290	AA
1997	147	AA
1998	168	AA
1999	269	AA
2000	296	AA
2001	319	AA
2002	318	AA
2003	299	AA
2004	318	AA
2005	294	AA
2006	353	AA
2007	377	AA
2008	394	AA
2009	401	AA
2010	458	AA
2011	509	AA
2012	592	AA
2013	570	AA
2014	590	AA
2015	652	AA
2016	626	AA
1996	0	AES
1997	3	AES
1998	3	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	1	AAT
2015	0	AAT
2016	0	AAT
1996	92	AS
1997	90	AS
1998	76	AS
1999	87	AS
2000	65	AS
2001	59	AS
2002	38	AS
2003	45	AS
2004	39	AS
2005	38	AS
2006	35	AS
2007	56	AS
2008	54	AS
2009	51	AS
2010	45	AS
2011	58	AS
2012	80	AS
2013	113	AS
2014	127	AS
2015	98	AS
2016	116	AS
1996	312	AAPS
1997	127	AAPS
1998	122	AAPS
1999	304	AAPS
2000	385	AAPS
2001	434	AAPS
2002	389	AAPS
2003	354	AAPS
2004	371	AAPS
2005	403	AAPS
2006	458	AAPS
2007	385	AAPS
2008	437	AAPS
2009	528	AAPS
2010	532	AAPS
2011	611	AAPS
2012	696	AAPS
2013	657	AAPS
2014	731	AAPS
2015	626	AAPS
2016	656	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	18	AGS
1997	49	AGS
1998	39	AGS
1999	15	AGS
2000	20	AGS
2001	29	AGS
2002	22	AGS
2003	33	AGS
2004	56	AGS
2005	52	AGS
2006	92	AGS
2007	100	AGS
2008	125	AGS
2009	135	AGS
2010	130	AGS
2011	253	AGS
2012	220	AGS
2013	144	AGS
2014	153	AGS
2015	265	AGS
2016	209	AGS
