date	value	key
1996	68	AA
1997	293	AA
1998	299	AA
1999	49	AA
2000	64	AA
2001	76	AA
2002	47	AA
2003	79	AA
2004	75	AA
2005	71	AA
2006	65	AA
2007	65	AA
2008	71	AA
2009	75	AA
2010	86	AA
2011	95	AA
2012	77	AA
2013	127	AA
2014	109	AA
2015	109	AA
2016	119	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	1	AES
2000	2	AES
2001	1	AES
2002	3	AES
2003	4	AES
2004	6	AES
2005	3	AES
2006	3	AES
2007	4	AES
2008	4	AES
2009	1	AES
2010	1	AES
2011	4	AES
2012	1	AES
2013	3	AES
2014	8	AES
2015	6	AES
2016	4	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	2	AFA
2000	4	AFA
2001	2	AFA
2002	5	AFA
2003	2	AFA
2004	3	AFA
2005	4	AFA
2006	5	AFA
2007	4	AFA
2008	2	AFA
2009	2	AFA
2010	1	AFA
2011	1	AFA
2012	3	AFA
2013	4	AFA
2014	4	AFA
2015	2	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	2	AAT
2011	1	AAT
2012	2	AAT
2013	2	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	32	AS
1997	97	AS
1998	112	AS
1999	45	AS
2000	48	AS
2001	53	AS
2002	34	AS
2003	22	AS
2004	38	AS
2005	35	AS
2006	53	AS
2007	50	AS
2008	43	AS
2009	43	AS
2010	33	AS
2011	25	AS
2012	34	AS
2013	34	AS
2014	42	AS
2015	40	AS
2016	47	AS
1996	185	AAPS
1997	349	AAPS
1998	323	AAPS
1999	188	AAPS
2000	195	AAPS
2001	185	AAPS
2002	151	AAPS
2003	121	AAPS
2004	152	AAPS
2005	163	AAPS
2006	158	AAPS
2007	182	AAPS
2008	168	AAPS
2009	184	AAPS
2010	169	AAPS
2011	203	AAPS
2012	237	AAPS
2013	197	AAPS
2014	207	AAPS
2015	236	AAPS
2016	208	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	27	AGS
1997	17	AGS
1998	5	AGS
1999	24	AGS
2000	37	AGS
2001	39	AGS
2002	36	AGS
2003	22	AGS
2004	31	AGS
2005	29	AGS
2006	26	AGS
2007	32	AGS
2008	20	AGS
2009	27	AGS
2010	21	AGS
2011	33	AGS
2012	38	AGS
2013	86	AGS
2014	61	AGS
2015	63	AGS
2016	44	AGS
