date	value	key
1996	155	AA
1997	45	AA
1998	41	AA
1999	148	AA
2000	202	AA
2001	193	AA
2002	184	AA
2003	201	AA
2004	138	AA
2005	217	AA
2006	207	AA
2007	175	AA
2008	201	AA
2009	172	AA
2010	226	AA
2011	201	AA
2012	233	AA
2013	215	AA
2014	216	AA
2015	198	AA
2016	201	AA
1996	0	AES
1997	0	AES
1998	1	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	5	AES
2012	11	AES
2013	8	AES
2014	5	AES
2015	7	AES
2016	10	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	1	AFA
2016	1	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	41	AS
1997	45	AS
1998	44	AS
1999	31	AS
2000	25	AS
2001	21	AS
2002	11	AS
2003	20	AS
2004	30	AS
2005	24	AS
2006	30	AS
2007	28	AS
2008	31	AS
2009	13	AS
2010	28	AS
2011	24	AS
2012	26	AS
2013	35	AS
2014	31	AS
2015	31	AS
2016	37	AS
1996	205	AAPS
1997	201	AAPS
1998	178	AAPS
1999	178	AAPS
2000	191	AAPS
2001	207	AAPS
2002	185	AAPS
2003	231	AAPS
2004	301	AAPS
2005	335	AAPS
2006	268	AAPS
2007	269	AAPS
2008	263	AAPS
2009	244	AAPS
2010	252	AAPS
2011	267	AAPS
2012	297	AAPS
2013	257	AAPS
2014	284	AAPS
2015	308	AAPS
2016	280	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	18	AGS
1997	31	AGS
1998	28	AGS
1999	12	AGS
2000	13	AGS
2001	26	AGS
2002	28	AGS
2003	11	AGS
2004	15	AGS
2005	15	AGS
2006	15	AGS
2007	22	AGS
2008	22	AGS
2009	14	AGS
2010	21	AGS
2011	26	AGS
2012	47	AGS
2013	66	AGS
2014	71	AGS
2015	64	AGS
2016	67	AGS
