date	value	key
1996	78	AA
1997	171	AA
1998	152	AA
1999	101	AA
2000	99	AA
2001	105	AA
2002	114	AA
2003	138	AA
2004	107	AA
2005	129	AA
2006	108	AA
2007	142	AA
2008	102	AA
2009	102	AA
2010	126	AA
2011	109	AA
2012	111	AA
2013	92	AA
2014	76	AA
2015	61	AA
2016	63	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	2	AES
2001	3	AES
2002	2	AES
2003	1	AES
2004	2	AES
2005	1	AES
2006	4	AES
2007	0	AES
2008	2	AES
2009	0	AES
2010	1	AES
2011	5	AES
2012	0	AES
2013	0	AES
2014	3	AES
2015	5	AES
2016	6	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	1	AFA
2002	0	AFA
2003	1	AFA
2004	0	AFA
2005	1	AFA
2006	1	AFA
2007	1	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	3	AFA
2013	0	AFA
2014	1	AFA
2015	1	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	161	AS
1997	25	AS
1998	28	AS
1999	193	AS
2000	153	AS
2001	168	AS
2002	199	AS
2003	173	AS
2004	201	AS
2005	217	AS
2006	189	AS
2007	229	AS
2008	227	AS
2009	193	AS
2010	225	AS
2011	224	AS
2012	305	AS
2013	234	AS
2014	286	AS
2015	236	AS
2016	258	AS
1996	112	AAPS
1997	196	AAPS
1998	185	AAPS
1999	112	AAPS
2000	105	AAPS
2001	127	AAPS
2002	98	AAPS
2003	110	AAPS
2004	115	AAPS
2005	133	AAPS
2006	132	AAPS
2007	115	AAPS
2008	112	AAPS
2009	127	AAPS
2010	142	AAPS
2011	163	AAPS
2012	180	AAPS
2013	176	AAPS
2014	157	AAPS
2015	148	AAPS
2016	152	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	16	AGS
1998	12	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	0	AGS
