date	value	key
1996	373	AA
1997	73	AA
1998	88	AA
1999	399	AA
2000	406	AA
2001	384	AA
2002	448	AA
2003	451	AA
2004	411	AA
2005	486	AA
2006	475	AA
2007	454	AA
2008	508	AA
2009	511	AA
2010	557	AA
2011	617	AA
2012	673	AA
2013	1048	AA
2014	844	AA
2015	778	AA
2016	864	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	7	AES
2002	5	AES
2003	3	AES
2004	5	AES
2005	7	AES
2006	3	AES
2007	5	AES
2008	4	AES
2009	5	AES
2010	2	AES
2011	12	AES
2012	11	AES
2013	27	AES
2014	23	AES
2015	18	AES
2016	21	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	1	AFA
2004	1	AFA
2005	1	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	2	AFA
2010	1	AFA
2011	2	AFA
2012	1	AFA
2013	6	AFA
2014	4	AFA
2015	4	AFA
2016	1	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	1	AAT
2013	2	AAT
2014	1	AAT
2015	1	AAT
2016	0	AAT
1996	147	AS
1997	170	AS
1998	191	AS
1999	104	AS
2000	76	AS
2001	75	AS
2002	77	AS
2003	81	AS
2004	84	AS
2005	76	AS
2006	89	AS
2007	81	AS
2008	91	AS
2009	70	AS
2010	89	AS
2011	98	AS
2012	138	AS
2013	177	AS
2014	127	AS
2015	178	AS
2016	147	AS
1996	299	AAPS
1997	121	AAPS
1998	133	AAPS
1999	275	AAPS
2000	259	AAPS
2001	253	AAPS
2002	284	AAPS
2003	313	AAPS
2004	322	AAPS
2005	340	AAPS
2006	305	AAPS
2007	337	AAPS
2008	344	AAPS
2009	380	AAPS
2010	424	AAPS
2011	391	AAPS
2012	429	AAPS
2013	525	AAPS
2014	391	AAPS
2015	409	AAPS
2016	434	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	0	AGS
1998	0	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	10	AGS
