date	value	key
1996	10	AA
1997	99	AA
1998	109	AA
1999	25	AA
2000	35	AA
2001	38	AA
2002	40	AA
2003	45	AA
2004	57	AA
2005	59	AA
2006	65	AA
2007	75	AA
2008	94	AA
2009	81	AA
2010	91	AA
2011	91	AA
2012	94	AA
2013	59	AA
2014	81	AA
2015	66	AA
2016	71	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	1	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	1	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	2	AES
2008	0	AES
2009	6	AES
2010	3	AES
2011	1	AES
2012	1	AES
2013	1	AES
2014	7	AES
2015	8	AES
2016	5	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	3	AFA
2000	5	AFA
2001	1	AFA
2002	1	AFA
2003	0	AFA
2004	1	AFA
2005	2	AFA
2006	2	AFA
2007	5	AFA
2008	8	AFA
2009	4	AFA
2010	10	AFA
2011	5	AFA
2012	5	AFA
2013	7	AFA
2014	11	AFA
2015	8	AFA
2016	5	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	200	AS
1997	185	AS
1998	188	AS
1999	225	AS
2000	224	AS
2001	251	AS
2002	232	AS
2003	235	AS
2004	255	AS
2005	268	AS
2006	289	AS
2007	234	AS
2008	270	AS
2009	298	AS
2010	243	AS
2011	286	AS
2012	268	AS
2013	259	AS
2014	300	AS
2015	354	AS
2016	370	AS
1996	213	AAPS
1997	295	AAPS
1998	288	AAPS
1999	209	AAPS
2000	200	AAPS
2001	184	AAPS
2002	209	AAPS
2003	185	AAPS
2004	181	AAPS
2005	208	AAPS
2006	205	AAPS
2007	230	AAPS
2008	262	AAPS
2009	355	AAPS
2010	293	AAPS
2011	360	AAPS
2012	361	AAPS
2013	364	AAPS
2014	320	AAPS
2015	378	AAPS
2016	331	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	10	AGS
1998	10	AGS
1999	2	AGS
2000	2	AGS
2001	5	AGS
2002	2	AGS
2003	10	AGS
2004	10	AGS
2005	26	AGS
2006	13	AGS
2007	9	AGS
2008	2	AGS
2009	4	AGS
2010	4	AGS
2011	24	AGS
2012	17	AGS
2013	14	AGS
2014	12	AGS
2015	14	AGS
2016	37	AGS
