date	value	key
1996	314	AA
1997	14	AA
1998	22	AA
1999	355	AA
2000	201	AA
2001	226	AA
2002	211	AA
2003	227	AA
2004	230	AA
2005	245	AA
2006	239	AA
2007	269	AA
2008	234	AA
2009	280	AA
2010	287	AA
2011	291	AA
2012	313	AA
2013	330	AA
2014	359	AA
2015	310	AA
2016	354	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	4	AES
2001	3	AES
2002	4	AES
2003	4	AES
2004	6	AES
2005	0	AES
2006	3	AES
2007	7	AES
2008	4	AES
2009	5	AES
2010	1	AES
2011	0	AES
2012	3	AES
2013	0	AES
2014	2	AES
2015	7	AES
2016	6	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	1	AFA
2000	19	AFA
2001	4	AFA
2002	6	AFA
2003	17	AFA
2004	6	AFA
2005	5	AFA
2006	3	AFA
2007	5	AFA
2008	5	AFA
2009	3	AFA
2010	7	AFA
2011	1	AFA
2012	3	AFA
2013	1	AFA
2014	1	AFA
2015	1	AFA
2016	1	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	1	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	1	AAT
2016	0	AAT
1996	98	AS
1997	208	AS
1998	263	AS
1999	81	AS
2000	165	AS
2001	161	AS
2002	171	AS
2003	168	AS
2004	169	AS
2005	157	AS
2006	141	AS
2007	160	AS
2008	151	AS
2009	155	AS
2010	172	AS
2011	205	AS
2012	209	AS
2013	241	AS
2014	243	AS
2015	276	AS
2016	267	AS
1996	305	AAPS
1997	199	AAPS
1998	273	AAPS
1999	197	AAPS
2000	228	AAPS
2001	215	AAPS
2002	205	AAPS
2003	197	AAPS
2004	171	AAPS
2005	156	AAPS
2006	166	AAPS
2007	160	AAPS
2008	191	AAPS
2009	177	AAPS
2010	207	AAPS
2011	185	AAPS
2012	204	AAPS
2013	201	AAPS
2014	239	AAPS
2015	233	AAPS
2016	237	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	2	AGS
1998	1	AGS
1999	0	AGS
2000	28	AGS
2001	19	AGS
2002	28	AGS
2003	23	AGS
2004	31	AGS
2005	35	AGS
2006	30	AGS
2007	42	AGS
2008	37	AGS
2009	49	AGS
2010	36	AGS
2011	58	AGS
2012	60	AGS
2013	75	AGS
2014	195	AGS
2015	220	AGS
2016	198	AGS
