date	value	key
1996	194	AA
1997	386	AA
1998	322	AA
1999	126	AA
2000	145	AA
2001	153	AA
2002	123	AA
2003	140	AA
2004	174	AA
2005	171	AA
2006	172	AA
2007	185	AA
2008	186	AA
2009	178	AA
2010	215	AA
2011	171	AA
2012	187	AA
2013	184	AA
2014	148	AA
2015	157	AA
2016	128	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	3	AES
2000	1	AES
2001	0	AES
2002	1	AES
2003	1	AES
2004	3	AES
2005	1	AES
2006	3	AES
2007	0	AES
2008	2	AES
2009	0	AES
2010	2	AES
2011	0	AES
2012	1	AES
2013	5	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	1	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	1	AFA
2006	1	AFA
2007	3	AFA
2008	2	AFA
2009	2	AFA
2010	3	AFA
2011	4	AFA
2012	2	AFA
2013	4	AFA
2014	8	AFA
2015	3	AFA
2016	3	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	93	AS
1997	102	AS
1998	110	AS
1999	156	AS
2000	135	AS
2001	153	AS
2002	142	AS
2003	144	AS
2004	161	AS
2005	162	AS
2006	147	AS
2007	117	AS
2008	125	AS
2009	106	AS
2010	106	AS
2011	90	AS
2012	83	AS
2013	78	AS
2014	66	AS
2015	63	AS
2016	61	AS
1996	184	AAPS
1997	290	AAPS
1998	233	AAPS
1999	222	AAPS
2000	177	AAPS
2001	186	AAPS
2002	194	AAPS
2003	216	AAPS
2004	204	AAPS
2005	247	AAPS
2006	193	AAPS
2007	235	AAPS
2008	227	AAPS
2009	369	AAPS
2010	192	AAPS
2011	235	AAPS
2012	229	AAPS
2013	262	AAPS
2014	211	AAPS
2015	277	AAPS
2016	245	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	0	AGS
1998	0	AGS
1999	0	AGS
2000	3	AGS
2001	0	AGS
2002	5	AGS
2003	4	AGS
2004	7	AGS
2005	2	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	1	AGS
2010	0	AGS
2011	17	AGS
2012	26	AGS
2013	212	AGS
2014	179	AGS
2015	42	AGS
2016	8	AGS
