date	value	key
1996	25	AA
1997	179	AA
1998	150	AA
1999	16	AA
2000	22	AA
2001	24	AA
2002	14	AA
2003	18	AA
2004	33	AA
2005	30	AA
2006	41	AA
2007	60	AA
2008	25	AA
2009	41	AA
2010	31	AA
2011	45	AA
2012	61	AA
2013	36	AA
2014	41	AA
2015	45	AA
2016	69	AA
1996	0	AES
1997	0	AES
1998	4	AES
1999	0	AES
2000	1	AES
2001	2	AES
2002	2	AES
2003	4	AES
2004	1	AES
2005	0	AES
2006	4	AES
2007	0	AES
2008	3	AES
2009	3	AES
2010	0	AES
2011	1	AES
2012	2	AES
2013	1	AES
2014	4	AES
2015	2	AES
2016	8	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	3	AFA
2000	4	AFA
2001	4	AFA
2002	7	AFA
2003	6	AFA
2004	11	AFA
2005	12	AFA
2006	5	AFA
2007	3	AFA
2008	7	AFA
2009	5	AFA
2010	8	AFA
2011	7	AFA
2012	9	AFA
2013	7	AFA
2014	12	AFA
2015	6	AFA
2016	3	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	220	AS
1997	117	AS
1998	162	AS
1999	220	AS
2000	240	AS
2001	255	AS
2002	253	AS
2003	242	AS
2004	270	AS
2005	316	AS
2006	324	AS
2007	328	AS
2008	271	AS
2009	277	AS
2010	337	AS
2011	428	AS
2012	455	AS
2013	467	AS
2014	435	AS
2015	423	AS
2016	438	AS
1996	41	AAPS
1997	207	AAPS
1998	215	AAPS
1999	58	AAPS
2000	76	AAPS
2001	93	AAPS
2002	71	AAPS
2003	63	AAPS
2004	77	AAPS
2005	79	AAPS
2006	95	AAPS
2007	91	AAPS
2008	110	AAPS
2009	115	AAPS
2010	157	AAPS
2011	182	AAPS
2012	206	AAPS
2013	187	AAPS
2014	228	AAPS
2015	232	AAPS
2016	222	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	13	AGS
1997	0	AGS
1998	1	AGS
1999	22	AGS
2000	30	AGS
2001	37	AGS
2002	20	AGS
2003	25	AGS
2004	40	AGS
2005	38	AGS
2006	51	AGS
2007	39	AGS
2008	21	AGS
2009	32	AGS
2010	49	AGS
2011	54	AGS
2012	70	AGS
2013	44	AGS
2014	63	AGS
2015	80	AGS
2016	77	AGS
