date	value	key
1996	0	AA
1997	21	AA
1998	24	AA
1999	7	AA
2000	0	AA
2001	0	AA
2002	0	AA
2003	0	AA
2004	0	AA
2005	0	AA
2006	0	AA
2007	0	AA
2008	0	AA
2009	0	AA
2010	0	AA
2011	0	AA
2012	0	AA
2013	0	AA
2014	0	AA
2015	0	AA
2016	0	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AS
1997	225	AS
1998	225	AS
1999	4	AS
2000	0	AS
2001	0	AS
2002	0	AS
2003	0	AS
2004	0	AS
2005	0	AS
2006	0	AS
2007	0	AS
2008	0	AS
2009	0	AS
2010	0	AS
2011	0	AS
2012	0	AS
2013	0	AS
2014	0	AS
2015	0	AS
2016	0	AS
1996	0	AAPS
1997	56	AAPS
1998	56	AAPS
1999	7	AAPS
2000	0	AAPS
2001	0	AAPS
2002	0	AAPS
2003	0	AAPS
2004	0	AAPS
2005	0	AAPS
2006	0	AAPS
2007	0	AAPS
2008	0	AAPS
2009	0	AAPS
2010	0	AAPS
2011	0	AAPS
2012	0	AAPS
2013	0	AAPS
2014	0	AAPS
2015	0	AAPS
2016	0	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	21	AGS
1998	17	AGS
1999	1	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	0	AGS
