date	value	key
1996	442	AA
1997	24	AA
1998	29	AA
1999	463	AA
2000	421	AA
2001	442	AA
2002	380	AA
2003	339	AA
2004	376	AA
2005	399	AA
2006	401	AA
2007	363	AA
2008	376	AA
2009	398	AA
2010	460	AA
2011	421	AA
2012	491	AA
2013	442	AA
2014	425	AA
2015	403	AA
2016	463	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	1	AFA
2002	4	AFA
2003	1	AFA
2004	4	AFA
2005	3	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	1	AFA
2010	0	AFA
2011	0	AFA
2012	2	AFA
2013	0	AFA
2014	6	AFA
2015	6	AFA
2016	5	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	2	AAT
2011	1	AAT
2012	0	AAT
2013	0	AAT
2014	1	AAT
2015	0	AAT
2016	0	AAT
1996	288	AS
1997	12	AS
1998	15	AS
1999	301	AS
2000	284	AS
2001	315	AS
2002	371	AS
2003	386	AS
2004	415	AS
2005	415	AS
2006	479	AS
2007	512	AS
2008	533	AS
2009	495	AS
2010	602	AS
2011	673	AS
2012	856	AS
2013	876	AS
2014	843	AS
2015	863	AS
2016	920	AS
1996	355	AAPS
1997	21	AAPS
1998	6	AAPS
1999	314	AAPS
2000	328	AAPS
2001	332	AAPS
2002	322	AAPS
2003	333	AAPS
2004	326	AAPS
2005	351	AAPS
2006	343	AAPS
2007	351	AAPS
2008	339	AAPS
2009	357	AAPS
2010	402	AAPS
2011	437	AAPS
2012	473	AAPS
2013	480	AAPS
2014	499	AAPS
2015	454	AAPS
2016	504	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	0	AGS
1998	0	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	112	AGS
