date	value	key
1996	84	AA
1997	396	AA
1998	461	AA
1999	63	AA
2000	72	AA
2001	81	AA
2002	99	AA
2003	111	AA
2004	65	AA
2005	87	AA
2006	92	AA
2007	88	AA
2008	96	AA
2009	94	AA
2010	108	AA
2011	100	AA
2012	100	AA
2013	133	AA
2014	131	AA
2015	138	AA
2016	131	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	3	AFA
2004	2	AFA
2005	2	AFA
2006	4	AFA
2007	6	AFA
2008	4	AFA
2009	2	AFA
2010	2	AFA
2011	2	AFA
2012	5	AFA
2013	6	AFA
2014	4	AFA
2015	3	AFA
2016	3	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	1	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	26	AS
1997	272	AS
1998	284	AS
1999	19	AS
2000	16	AS
2001	30	AS
2002	28	AS
2003	28	AS
2004	13	AS
2005	17	AS
2006	20	AS
2007	28	AS
2008	29	AS
2009	35	AS
2010	45	AS
2011	60	AS
2012	73	AS
2013	66	AS
2014	80	AS
2015	94	AS
2016	122	AS
1996	122	AAPS
1997	279	AAPS
1998	303	AAPS
1999	139	AAPS
2000	86	AAPS
2001	93	AAPS
2002	101	AAPS
2003	110	AAPS
2004	96	AAPS
2005	113	AAPS
2006	140	AAPS
2007	151	AAPS
2008	139	AAPS
2009	119	AAPS
2010	144	AAPS
2011	123	AAPS
2012	168	AAPS
2013	150	AAPS
2014	120	AAPS
2015	184	AAPS
2016	152	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	45	AGS
1997	0	AGS
1998	0	AGS
1999	53	AGS
2000	44	AGS
2001	45	AGS
2002	32	AGS
2003	47	AGS
2004	51	AGS
2005	76	AGS
2006	59	AGS
2007	58	AGS
2008	65	AGS
2009	54	AGS
2010	53	AGS
2011	53	AGS
2012	73	AGS
2013	62	AGS
2014	42	AGS
2015	85	AGS
2016	51	AGS
