date	value	key
1996	214	AA
1997	92	AA
1998	79	AA
1999	226	AA
2000	190	AA
2001	202	AA
2002	225	AA
2003	238	AA
2004	259	AA
2005	256	AA
2006	222	AA
2007	267	AA
2008	265	AA
2009	228	AA
2010	286	AA
2011	288	AA
2012	328	AA
2013	367	AA
2014	854	AA
2015	464	AA
2016	503	AA
1996	5	AES
1997	0	AES
1998	0	AES
1999	4	AES
2000	5	AES
2001	2	AES
2002	4	AES
2003	9	AES
2004	4	AES
2005	9	AES
2006	7	AES
2007	4	AES
2008	3	AES
2009	4	AES
2010	2	AES
2011	9	AES
2012	2	AES
2013	6	AES
2014	8	AES
2015	10	AES
2016	7	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	3	AFA
2001	0	AFA
2002	1	AFA
2003	2	AFA
2004	1	AFA
2005	0	AFA
2006	0	AFA
2007	1	AFA
2008	1	AFA
2009	1	AFA
2010	0	AFA
2011	2	AFA
2012	2	AFA
2013	3	AFA
2014	2	AFA
2015	4	AFA
2016	3	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	1	AAT
2011	1	AAT
2012	5	AAT
2013	0	AAT
2014	1	AAT
2015	3	AAT
2016	1	AAT
1996	0	AS
1997	25	AS
1998	21	AS
1999	7	AS
2000	1	AS
2001	1	AS
2002	4	AS
2003	6	AS
2004	9	AS
2005	7	AS
2006	7	AS
2007	7	AS
2008	8	AS
2009	5	AS
2010	14	AS
2011	3	AS
2012	12	AS
2013	14	AS
2014	12	AS
2015	12	AS
2016	22	AS
1996	215	AAPS
1997	101	AAPS
1998	112	AAPS
1999	144	AAPS
2000	152	AAPS
2001	159	AAPS
2002	171	AAPS
2003	161	AAPS
2004	195	AAPS
2005	210	AAPS
2006	199	AAPS
2007	266	AAPS
2008	197	AAPS
2009	209	AAPS
2010	218	AAPS
2011	204	AAPS
2012	254	AAPS
2013	249	AAPS
2014	448	AAPS
2015	267	AAPS
2016	248	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	50	AGS
1998	70	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	0	AGS
