date	value	key
1996	162	AA
1997	177	AA
1998	196	AA
1999	233	AA
2000	186	AA
2001	179	AA
2002	176	AA
2003	169	AA
2004	190	AA
2005	161	AA
2006	163	AA
2007	150	AA
2008	154	AA
2009	158	AA
2010	139	AA
2011	130	AA
2012	110	AA
2013	94	AA
2014	115	AA
2015	80	AA
2016	104	AA
1996	0	AES
1997	10	AES
1998	8	AES
1999	24	AES
2000	17	AES
2001	26	AES
2002	14	AES
2003	17	AES
2004	9	AES
2005	4	AES
2006	7	AES
2007	9	AES
2008	6	AES
2009	12	AES
2010	8	AES
2011	3	AES
2012	2	AES
2013	5	AES
2014	7	AES
2015	8	AES
2016	6	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	10	AFA
2000	6	AFA
2001	13	AFA
2002	11	AFA
2003	12	AFA
2004	8	AFA
2005	7	AFA
2006	10	AFA
2007	12	AFA
2008	10	AFA
2009	11	AFA
2010	6	AFA
2011	8	AFA
2012	10	AFA
2013	6	AFA
2014	6	AFA
2015	12	AFA
2016	17	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	117	AS
1997	7	AS
1998	6	AS
1999	138	AS
2000	151	AS
2001	157	AS
2002	196	AS
2003	254	AS
2004	283	AS
2005	283	AS
2006	313	AS
2007	299	AS
2008	257	AS
2009	267	AS
2010	222	AS
2011	248	AS
2012	212	AS
2013	178	AS
2014	200	AS
2015	176	AS
2016	213	AS
1996	430	AAPS
1997	187	AAPS
1998	160	AAPS
1999	347	AAPS
2000	351	AAPS
2001	344	AAPS
2002	317	AAPS
2003	340	AAPS
2004	418	AAPS
2005	394	AAPS
2006	522	AAPS
2007	420	AAPS
2008	420	AAPS
2009	468	AAPS
2010	388	AAPS
2011	378	AAPS
2012	419	AAPS
2013	426	AAPS
2014	401	AAPS
2015	406	AAPS
2016	405	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	9	AGS
1997	0	AGS
1998	0	AGS
1999	17	AGS
2000	29	AGS
2001	14	AGS
2002	27	AGS
2003	30	AGS
2004	37	AGS
2005	44	AGS
2006	55	AGS
2007	70	AGS
2008	56	AGS
2009	66	AGS
2010	55	AGS
2011	61	AGS
2012	54	AGS
2013	64	AGS
2014	60	AGS
2015	48	AGS
2016	71	AGS
