date	value	key
1996	121	AA
1997	198	AA
1998	202	AA
1999	151	AA
2000	181	AA
2001	163	AA
2002	136	AA
2003	149	AA
2004	171	AA
2005	157	AA
2006	149	AA
2007	175	AA
2008	151	AA
2009	194	AA
2010	208	AA
2011	194	AA
2012	192	AA
2013	218	AA
2014	214	AA
2015	211	AA
2016	180	AA
1996	0	AES
1997	0	AES
1998	18	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	5	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	1	AFA
2005	2	AFA
2006	1	AFA
2007	0	AFA
2008	1	AFA
2009	3	AFA
2010	4	AFA
2011	2	AFA
2012	5	AFA
2013	1	AFA
2014	1	AFA
2015	0	AFA
2016	5	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	37	AS
1997	144	AS
1998	143	AS
1999	34	AS
2000	27	AS
2001	21	AS
2002	23	AS
2003	32	AS
2004	29	AS
2005	23	AS
2006	31	AS
2007	30	AS
2008	39	AS
2009	42	AS
2010	30	AS
2011	38	AS
2012	53	AS
2013	41	AS
2014	61	AS
2015	69	AS
2016	93	AS
1996	176	AAPS
1997	446	AAPS
1998	385	AAPS
1999	155	AAPS
2000	152	AAPS
2001	139	AAPS
2002	119	AAPS
2003	112	AAPS
2004	123	AAPS
2005	154	AAPS
2006	130	AAPS
2007	121	AAPS
2008	132	AAPS
2009	128	AAPS
2010	124	AAPS
2011	121	AAPS
2012	129	AAPS
2013	94	AAPS
2014	170	AAPS
2015	122	AAPS
2016	137	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	8	AGS
1997	11	AGS
1998	13	AGS
1999	15	AGS
2000	16	AGS
2001	8	AGS
2002	5	AGS
2003	4	AGS
2004	3	AGS
2005	6	AGS
2006	8	AGS
2007	6	AGS
2008	5	AGS
2009	8	AGS
2010	6	AGS
2011	6	AGS
2012	11	AGS
2013	7	AGS
2014	7	AGS
2015	22	AGS
2016	16	AGS
