date	value	key
1996	126	AA
1997	151	AA
1998	165	AA
1999	138	AA
2000	118	AA
2001	130	AA
2002	154	AA
2003	167	AA
2004	234	AA
2005	246	AA
2006	223	AA
2007	223	AA
2008	243	AA
2009	241	AA
2010	261	AA
2011	210	AA
2012	209	AA
2013	231	AA
2014	203	AA
2015	223	AA
2016	189	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	1	AES
2005	0	AES
2006	2	AES
2007	4	AES
2008	3	AES
2009	1	AES
2010	7	AES
2011	4	AES
2012	3	AES
2013	3	AES
2014	1	AES
2015	2	AES
2016	3	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	1	AFA
2004	1	AFA
2005	0	AFA
2006	0	AFA
2007	2	AFA
2008	1	AFA
2009	4	AFA
2010	0	AFA
2011	0	AFA
2012	5	AFA
2013	4	AFA
2014	5	AFA
2015	1	AFA
2016	7	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	6	AAT
2011	0	AAT
2012	9	AAT
2013	2	AAT
2014	3	AAT
2015	0	AAT
2016	1	AAT
1996	56	AS
1997	37	AS
1998	35	AS
1999	68	AS
2000	49	AS
2001	50	AS
2002	80	AS
2003	103	AS
2004	137	AS
2005	151	AS
2006	155	AS
2007	148	AS
2008	177	AS
2009	183	AS
2010	203	AS
2011	149	AS
2012	142	AS
2013	177	AS
2014	142	AS
2015	181	AS
2016	141	AS
1996	181	AAPS
1997	164	AAPS
1998	158	AAPS
1999	131	AAPS
2000	90	AAPS
2001	86	AAPS
2002	114	AAPS
2003	143	AAPS
2004	102	AAPS
2005	278	AAPS
2006	203	AAPS
2007	231	AAPS
2008	202	AAPS
2009	349	AAPS
2010	277	AAPS
2011	339	AAPS
2012	370	AAPS
2013	363	AAPS
2014	204	AAPS
2015	251	AAPS
2016	226	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	14	AGS
1998	15	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	0	AGS
