date	value	key
1996	83	AA
1997	145	AA
1998	132	AA
1999	101	AA
2000	103	AA
2001	102	AA
2002	102	AA
2003	123	AA
2004	90	AA
2005	97	AA
2006	61	AA
2007	62	AA
2008	61	AA
2009	92	AA
2010	82	AA
2011	188	AA
2012	106	AA
2013	106	AA
2014	86	AA
2015	83	AA
2016	87	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	2	AES
2000	0	AES
2001	1	AES
2002	2	AES
2003	5	AES
2004	3	AES
2005	1	AES
2006	1	AES
2007	1	AES
2008	0	AES
2009	0	AES
2010	2	AES
2011	2	AES
2012	0	AES
2013	4	AES
2014	1	AES
2015	0	AES
2016	2	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	1	AFA
2002	0	AFA
2003	0	AFA
2004	2	AFA
2005	0	AFA
2006	0	AFA
2007	2	AFA
2008	0	AFA
2009	0	AFA
2010	3	AFA
2011	0	AFA
2012	0	AFA
2013	2	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	1	AAT
2013	2	AAT
2014	0	AAT
2015	1	AAT
2016	1	AAT
1996	97	AS
1997	68	AS
1998	85	AS
1999	84	AS
2000	81	AS
2001	67	AS
2002	65	AS
2003	67	AS
2004	64	AS
2005	46	AS
2006	67	AS
2007	74	AS
2008	74	AS
2009	69	AS
2010	62	AS
2011	150	AS
2012	84	AS
2013	65	AS
2014	82	AS
2015	82	AS
2016	75	AS
1996	153	AAPS
1997	165	AAPS
1998	136	AAPS
1999	127	AAPS
2000	91	AAPS
2001	109	AAPS
2002	140	AAPS
2003	127	AAPS
2004	181	AAPS
2005	158	AAPS
2006	109	AAPS
2007	152	AAPS
2008	144	AAPS
2009	115	AAPS
2010	114	AAPS
2011	251	AAPS
2012	159	AAPS
2013	152	AAPS
2014	179	AAPS
2015	159	AAPS
2016	151	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	2	AGS
1997	0	AGS
1998	0	AGS
1999	5	AGS
2000	5	AGS
2001	1	AGS
2002	2	AGS
2003	2	AGS
2004	5	AGS
2005	6	AGS
2006	8	AGS
2007	11	AGS
2008	5	AGS
2009	14	AGS
2010	9	AGS
2011	20	AGS
2012	51	AGS
2013	34	AGS
2014	29	AGS
2015	29	AGS
2016	23	AGS
