date	value	key
1996	384	AA
1997	83	AA
1998	117	AA
1999	411	AA
2000	409	AA
2001	407	AA
2002	366	AA
2003	432	AA
2004	508	AA
2005	465	AA
2006	469	AA
2007	508	AA
2008	461	AA
2009	495	AA
2010	561	AA
2011	638	AA
2012	558	AA
2013	635	AA
2014	595	AA
2015	605	AA
2016	671	AA
1996	0	AES
1997	1	AES
1998	8	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	2	AES
2011	0	AES
2012	1	AES
2013	2	AES
2014	9	AES
2015	7	AES
2016	19	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	1	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	95	AS
1997	76	AS
1998	94	AS
1999	86	AS
2000	99	AS
2001	72	AS
2002	71	AS
2003	69	AS
2004	80	AS
2005	89	AS
2006	78	AS
2007	96	AS
2008	97	AS
2009	104	AS
2010	134	AS
2011	144	AS
2012	152	AS
2013	181	AS
2014	190	AS
2015	178	AS
2016	216	AS
1996	184	AAPS
1997	122	AAPS
1998	135	AAPS
1999	123	AAPS
2000	166	AAPS
2001	170	AAPS
2002	172	AAPS
2003	204	AAPS
2004	224	AAPS
2005	235	AAPS
2006	197	AAPS
2007	243	AAPS
2008	215	AAPS
2009	231	AAPS
2010	267	AAPS
2011	257	AAPS
2012	310	AAPS
2013	306	AAPS
2014	276	AAPS
2015	237	AAPS
2016	209	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	3	AGS
1997	4	AGS
1998	4	AGS
1999	2	AGS
2000	4	AGS
2001	1	AGS
2002	1	AGS
2003	1	AGS
2004	1	AGS
2005	5	AGS
2006	2	AGS
2007	1	AGS
2008	2	AGS
2009	2	AGS
2010	1	AGS
2011	0	AGS
2012	3	AGS
2013	0	AGS
2014	0	AGS
2015	1	AGS
2016	1	AGS
