date	value	key
1996	52	AA
1997	386	AA
1998	370	AA
1999	71	AA
2000	67	AA
2001	65	AA
2002	69	AA
2003	77	AA
2004	62	AA
2005	80	AA
2006	74	AA
2007	66	AA
2008	70	AA
2009	63	AA
2010	53	AA
2011	63	AA
2012	66	AA
2013	61	AA
2014	59	AA
2015	61	AA
2016	78	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	1	AES
2014	0	AES
2015	1	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	4	AFA
2000	4	AFA
2001	2	AFA
2002	6	AFA
2003	1	AFA
2004	0	AFA
2005	2	AFA
2006	2	AFA
2007	2	AFA
2008	3	AFA
2009	2	AFA
2010	2	AFA
2011	4	AFA
2012	1	AFA
2013	3	AFA
2014	3	AFA
2015	1	AFA
2016	1	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	46	AS
1997	86	AS
1998	74	AS
1999	83	AS
2000	77	AS
2001	70	AS
2002	66	AS
2003	60	AS
2004	39	AS
2005	58	AS
2006	37	AS
2007	34	AS
2008	40	AS
2009	49	AS
2010	50	AS
2011	52	AS
2012	53	AS
2013	56	AS
2014	69	AS
2015	76	AS
2016	77	AS
1996	127	AAPS
1997	187	AAPS
1998	172	AAPS
1999	109	AAPS
2000	132	AAPS
2001	107	AAPS
2002	130	AAPS
2003	181	AAPS
2004	175	AAPS
2005	158	AAPS
2006	231	AAPS
2007	189	AAPS
2008	126	AAPS
2009	124	AAPS
2010	123	AAPS
2011	174	AAPS
2012	140	AAPS
2013	162	AAPS
2014	138	AAPS
2015	135	AAPS
2016	134	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	9	AGS
1997	4	AGS
1998	3	AGS
1999	24	AGS
2000	12	AGS
2001	24	AGS
2002	20	AGS
2003	9	AGS
2004	4	AGS
2005	8	AGS
2006	10	AGS
2007	13	AGS
2008	6	AGS
2009	10	AGS
2010	4	AGS
2011	5	AGS
2012	10	AGS
2013	32	AGS
2014	36	AGS
2015	39	AGS
2016	51	AGS
