date	value	key
1996	70	AA
1997	65	AA
1998	58	AA
1999	68	AA
2000	59	AA
2001	69	AA
2002	44	AA
2003	50	AA
2004	49	AA
2005	50	AA
2006	46	AA
2007	62	AA
2008	57	AA
2009	48	AA
2010	51	AA
2011	41	AA
2012	51	AA
2013	40	AA
2014	39	AA
2015	44	AA
2016	49	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	1	AES
2000	5	AES
2001	4	AES
2002	4	AES
2003	5	AES
2004	3	AES
2005	3	AES
2006	3	AES
2007	4	AES
2008	2	AES
2009	1	AES
2010	2	AES
2011	1	AES
2012	4	AES
2013	4	AES
2014	1	AES
2015	3	AES
2016	7	AES
1996	0	AFA
1997	0	AFA
1998	1	AFA
1999	0	AFA
2000	0	AFA
2001	2	AFA
2002	1	AFA
2003	0	AFA
2004	3	AFA
2005	5	AFA
2006	2	AFA
2007	3	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	1	AFA
2012	3	AFA
2013	0	AFA
2014	1	AFA
2015	1	AFA
2016	3	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	90	AS
1997	62	AS
1998	53	AS
1999	90	AS
2000	84	AS
2001	79	AS
2002	121	AS
2003	82	AS
2004	74	AS
2005	84	AS
2006	106	AS
2007	104	AS
2008	100	AS
2009	112	AS
2010	102	AS
2011	101	AS
2012	108	AS
2013	106	AS
2014	122	AS
2015	126	AS
2016	116	AS
1996	128	AAPS
1997	123	AAPS
1998	113	AAPS
1999	78	AAPS
2000	80	AAPS
2001	96	AAPS
2002	78	AAPS
2003	91	AAPS
2004	79	AAPS
2005	107	AAPS
2006	93	AAPS
2007	94	AAPS
2008	78	AAPS
2009	100	AAPS
2010	89	AAPS
2011	111	AAPS
2012	114	AAPS
2013	120	AAPS
2014	120	AAPS
2015	117	AAPS
2016	101	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	11	AGS
1997	20	AGS
1998	16	AGS
1999	6	AGS
2000	9	AGS
2001	10	AGS
2002	8	AGS
2003	6	AGS
2004	10	AGS
2005	8	AGS
2006	9	AGS
2007	7	AGS
2008	12	AGS
2009	13	AGS
2010	9	AGS
2011	11	AGS
2012	9	AGS
2013	8	AGS
2014	9	AGS
2015	14	AGS
2016	2	AGS
