date	value	key
1996	85	AA
1997	68	AA
1998	68	AA
1999	100	AA
2000	131	AA
2001	120	AA
2002	51	AA
2003	120	AA
2004	115	AA
2005	87	AA
2006	124	AA
2007	138	AA
2008	126	AA
2009	140	AA
2010	149	AA
2011	144	AA
2012	166	AA
2013	190	AA
2014	172	AA
2015	160	AA
2016	138	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	1	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	1	AES
2007	0	AES
2008	0	AES
2009	1	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	1	AFA
2000	1	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	1	AFA
2005	1	AFA
2006	1	AFA
2007	0	AFA
2008	0	AFA
2009	1	AFA
2010	9	AFA
2011	1	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	43	AS
1997	75	AS
1998	103	AS
1999	32	AS
2000	29	AS
2001	36	AS
2002	10	AS
2003	33	AS
2004	32	AS
2005	26	AS
2006	34	AS
2007	47	AS
2008	29	AS
2009	41	AS
2010	55	AS
2011	47	AS
2012	45	AS
2013	60	AS
2014	58	AS
2015	65	AS
2016	64	AS
1996	103	AAPS
1997	102	AAPS
1998	126	AAPS
1999	67	AAPS
2000	59	AAPS
2001	51	AAPS
2002	17	AAPS
2003	73	AAPS
2004	53	AAPS
2005	53	AAPS
2006	54	AAPS
2007	62	AAPS
2008	77	AAPS
2009	73	AAPS
2010	55	AAPS
2011	73	AAPS
2012	78	AAPS
2013	64	AAPS
2014	55	AAPS
2015	51	AAPS
2016	58	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	6	AGS
1997	10	AGS
1998	3	AGS
1999	6	AGS
2000	4	AGS
2001	5	AGS
2002	7	AGS
2003	6	AGS
2004	11	AGS
2005	7	AGS
2006	6	AGS
2007	7	AGS
2008	9	AGS
2009	8	AGS
2010	3	AGS
2011	10	AGS
2012	21	AGS
2013	31	AGS
2014	18	AGS
2015	18	AGS
2016	24	AGS
