date	value	key
1996	106	AA
1997	104	AA
1998	107	AA
1999	103	AA
2000	108	AA
2001	105	AA
2002	100	AA
2003	129	AA
2004	129	AA
2005	131	AA
2006	124	AA
2007	116	AA
2008	114	AA
2009	116	AA
2010	123	AA
2011	105	AA
2012	93	AA
2013	95	AA
2014	110	AA
2015	94	AA
2016	136	AA
1996	0	AES
1997	0	AES
1998	1	AES
1999	0	AES
2000	5	AES
2001	1	AES
2002	3	AES
2003	6	AES
2004	1	AES
2005	0	AES
2006	2	AES
2007	1	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	1	AES
2012	3	AES
2013	1	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	1	AFA
2000	1	AFA
2001	6	AFA
2002	0	AFA
2003	5	AFA
2004	2	AFA
2005	3	AFA
2006	2	AFA
2007	1	AFA
2008	3	AFA
2009	2	AFA
2010	2	AFA
2011	4	AFA
2012	1	AFA
2013	3	AFA
2014	4	AFA
2015	2	AFA
2016	4	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	124	AS
1997	38	AS
1998	46	AS
1999	105	AS
2000	84	AS
2001	91	AS
2002	64	AS
2003	101	AS
2004	88	AS
2005	112	AS
2006	98	AS
2007	101	AS
2008	95	AS
2009	101	AS
2010	112	AS
2011	101	AS
2012	104	AS
2013	108	AS
2014	110	AS
2015	104	AS
2016	114	AS
1996	275	AAPS
1997	80	AAPS
1998	80	AAPS
1999	238	AAPS
2000	206	AAPS
2001	225	AAPS
2002	198	AAPS
2003	202	AAPS
2004	181	AAPS
2005	234	AAPS
2006	217	AAPS
2007	177	AAPS
2008	183	AAPS
2009	142	AAPS
2010	162	AAPS
2011	189	AAPS
2012	191	AAPS
2013	183	AAPS
2014	145	AAPS
2015	112	AAPS
2016	138	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	9	AGS
1998	9	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	0	AGS
2006	0	AGS
2007	0	AGS
2008	0	AGS
2009	0	AGS
2010	0	AGS
2011	0	AGS
2012	0	AGS
2013	0	AGS
2014	0	AGS
2015	3	AGS
2016	12	AGS
