date	value	key
1996	71	AA
1997	96	AA
1998	106	AA
1999	66	AA
2000	81	AA
2001	94	AA
2002	80	AA
2003	100	AA
2004	88	AA
2005	87	AA
2006	79	AA
2007	60	AA
2008	73	AA
2009	69	AA
2010	59	AA
2011	83	AA
2012	87	AA
2013	68	AA
2014	74	AA
2015	86	AA
2016	101	AA
1996	0	AES
1997	0	AES
1998	1	AES
1999	0	AES
2000	3	AES
2001	6	AES
2002	0	AES
2003	1	AES
2004	2	AES
2005	3	AES
2006	5	AES
2007	0	AES
2008	4	AES
2009	0	AES
2010	0	AES
2011	3	AES
2012	1	AES
2013	3	AES
2014	8	AES
2015	2	AES
2016	3	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	1	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	52	AS
1997	95	AS
1998	121	AS
1999	58	AS
2000	58	AS
2001	81	AS
2002	56	AS
2003	65	AS
2004	67	AS
2005	54	AS
2006	65	AS
2007	53	AS
2008	58	AS
2009	69	AS
2010	49	AS
2011	51	AS
2012	65	AS
2013	63	AS
2014	67	AS
2015	84	AS
2016	97	AS
1996	145	AAPS
1997	275	AAPS
1998	256	AAPS
1999	128	AAPS
2000	145	AAPS
2001	121	AAPS
2002	93	AAPS
2003	77	AAPS
2004	65	AAPS
2005	90	AAPS
2006	83	AAPS
2007	90	AAPS
2008	87	AAPS
2009	107	AAPS
2010	76	AAPS
2011	59	AAPS
2012	67	AAPS
2013	102	AAPS
2014	65	AAPS
2015	103	AAPS
2016	92	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	23	AGS
1997	0	AGS
1998	0	AGS
1999	10	AGS
2000	18	AGS
2001	18	AGS
2002	16	AGS
2003	10	AGS
2004	15	AGS
2005	25	AGS
2006	11	AGS
2007	19	AGS
2008	7	AGS
2009	2	AGS
2010	1	AGS
2011	0	AGS
2012	4	AGS
2013	2	AGS
2014	0	AGS
2015	1	AGS
2016	1	AGS
