date	value	key
1996	84	AA
1997	76	AA
1998	72	AA
1999	401	AA
2000	408	AA
2001	392	AA
2002	466	AA
2003	465	AA
2004	405	AA
2005	401	AA
2006	557	AA
2007	373	AA
2008	418	AA
2009	378	AA
2010	439	AA
2011	457	AA
2012	434	AA
2013	456	AA
2014	434	AA
2015	469	AA
2016	388	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	1	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	1	AES
2012	3	AES
2013	8	AES
2014	5	AES
2015	6	AES
2016	7	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	1	AFA
2001	5	AFA
2002	6	AFA
2003	6	AFA
2004	6	AFA
2005	8	AFA
2006	22	AFA
2007	16	AFA
2008	12	AFA
2009	9	AFA
2010	14	AFA
2011	19	AFA
2012	29	AFA
2013	15	AFA
2014	15	AFA
2015	21	AFA
2016	20	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	1	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	38	AS
1997	54	AS
1998	67	AS
1999	248	AS
2000	273	AS
2001	226	AS
2002	229	AS
2003	214	AS
2004	199	AS
2005	214	AS
2006	261	AS
2007	188	AS
2008	247	AS
2009	238	AS
2010	252	AS
2011	262	AS
2012	250	AS
2013	278	AS
2014	282	AS
2015	291	AS
2016	322	AS
1996	49	AAPS
1997	125	AAPS
1998	112	AAPS
1999	467	AAPS
2000	412	AAPS
2001	443	AAPS
2002	487	AAPS
2003	448	AAPS
2004	486	AAPS
2005	441	AAPS
2006	576	AAPS
2007	493	AAPS
2008	571	AAPS
2009	491	AAPS
2010	628	AAPS
2011	564	AAPS
2012	623	AAPS
2013	638	AAPS
2014	614	AAPS
2015	636	AAPS
2016	567	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	18	AGS
1997	0	AGS
1998	13	AGS
1999	0	AGS
2000	0	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	1	AGS
2006	3	AGS
2007	1	AGS
2008	0	AGS
2009	1	AGS
2010	4	AGS
2011	1	AGS
2012	1	AGS
2013	3	AGS
2014	4	AGS
2015	0	AGS
2016	2	AGS
