date	value	key
1996	38	AA
1997	97	AA
1998	103	AA
1999	82	AA
2000	103	AA
2001	98	AA
2002	101	AA
2003	104	AA
2004	79	AA
2005	108	AA
2006	123	AA
2007	109	AA
2008	98	AA
2009	71	AA
2010	44	AA
2011	13	AA
2012	4	AA
2013	2	AA
2014	0	AA
2015	0	AA
2016	0	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	0	AFA
2012	0	AFA
2013	0	AFA
2014	0	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	1	AAT
2009	0	AAT
2010	2	AAT
2011	2	AAT
2012	0	AAT
2013	3	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	24	AS
1997	49	AS
1998	51	AS
1999	48	AS
2000	51	AS
2001	36	AS
2002	51	AS
2003	48	AS
2004	57	AS
2005	53	AS
2006	58	AS
2007	71	AS
2008	68	AS
2009	33	AS
2010	16	AS
2011	6	AS
2012	4	AS
2013	0	AS
2014	0	AS
2015	0	AS
2016	0	AS
1996	49	AAPS
1997	67	AAPS
1998	68	AAPS
1999	75	AAPS
2000	60	AAPS
2001	46	AAPS
2002	36	AAPS
2003	56	AAPS
2004	57	AAPS
2005	94	AAPS
2006	70	AAPS
2007	60	AAPS
2008	51	AAPS
2009	66	AAPS
2010	57	AAPS
2011	41	AAPS
2012	55	AAPS
2013	57	AAPS
2014	66	AAPS
2015	43	AAPS
2016	35	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	27	AAS
2010	84	AAS
2011	142	AAS
2012	104	AAS
2013	149	AAS
2014	149	AAS
2015	158	AAS
2016	149	AAS
1996	0	AGS
1997	20	AGS
1998	5	AGS
1999	9	AGS
2000	8	AGS
2001	12	AGS
2002	7	AGS
2003	9	AGS
2004	8	AGS
2005	19	AGS
2006	18	AGS
2007	19	AGS
2008	14	AGS
2009	19	AGS
2010	14	AGS
2011	31	AGS
2012	24	AGS
2013	17	AGS
2014	27	AGS
2015	18	AGS
2016	22	AGS
