date	value	key
1996	7413	AA
1997	7676	AA
1998	7972	AA
1999	7827	AA
2000	7861	AA
2001	7798	AA
2002	7711	AA
2003	8278	AA
2004	8548	AA
2005	8812	AA
2006	8873	AA
2007	8756	AA
2008	8659	AA
2009	8888	AA
2010	9635	AA
2011	9887	AA
2012	10634	AA
2013	11242	AA
2014	11569	AA
2015	11756	AA
2016	12009	AA
1996	32	AES
1997	31	AES
1998	72	AES
1999	76	AES
2000	84	AES
2001	92	AES
2002	93	AES
2003	110	AES
2004	103	AES
2005	85	AES
2006	91	AES
2007	99	AES
2008	105	AES
2009	94	AES
2010	104	AES
2011	114	AES
2012	138	AES
2013	183	AES
2014	217	AES
2015	226	AES
2016	252	AES
1996	0	AFA
1997	1	AFA
1998	9	AFA
1999	33	AFA
2000	57	AFA
2001	54	AFA
2002	58	AFA
2003	74	AFA
2004	62	AFA
2005	73	AFA
2006	78	AFA
2007	78	AFA
2008	76	AFA
2009	70	AFA
2010	89	AFA
2011	86	AFA
2012	112	AFA
2013	102	AFA
2014	131	AFA
2015	109	AFA
2016	112	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	2	AAT
2009	2	AAT
2010	18	AAT
2011	15	AAT
2012	29	AAT
2013	18	AAT
2014	13	AAT
2015	11	AAT
2016	9	AAT
1996	4762	AS
1997	4914	AS
1998	4703	AS
1999	4498	AS
2000	4272	AS
2001	4103	AS
2002	4068	AS
2003	4250	AS
2004	4363	AS
2005	4459	AS
2006	4643	AS
2007	4703	AS
2008	4778	AS
2009	4868	AS
2010	5058	AS
2011	5412	AS
2012	6015	AS
2013	6460	AS
2014	6952	AS
2015	7570	AS
2016	8208	AS
1996	9769	AAPS
1997	9188	AAPS
1998	9260	AAPS
1999	8608	AAPS
2000	8604	AAPS
2001	8371	AAPS
2002	8145	AAPS
2003	8508	AAPS
2004	8746	AAPS
2005	9742	AAPS
2006	9934	AAPS
2007	9891	AAPS
2008	9390	AAPS
2009	10213	AAPS
2010	10573	AAPS
2011	11317	AAPS
2012	12217	AAPS
2013	11921	AAPS
2014	11555	AAPS
2015	11309	AAPS
2016	11014	AAPS
1996	526	AAS
1997	466	AAS
1998	592	AAS
1999	560	AAS
2000	578	AAS
2001	797	AAS
2002	831	AAS
2003	887	AAS
2004	946	AAS
2005	989	AAS
2006	1052	AAS
2007	995	AAS
2008	1008	AAS
2009	986	AAS
2010	1090	AAS
2011	1236	AAS
2012	1137	AAS
2013	966	AAS
2014	642	AAS
2015	553	AAS
2016	585	AAS
1996	815	AGS
1997	734	AGS
1998	785	AGS
1999	844	AGS
2000	1021	AGS
2001	906	AGS
2002	811	AGS
2003	870	AGS
2004	872	AGS
2005	998	AGS
2006	1069	AGS
2007	1185	AGS
2008	1112	AGS
2009	1339	AGS
2010	1272	AGS
2011	1723	AGS
2012	2188	AGS
2013	2775	AGS
2014	3706	AGS
2015	3536	AGS
2016	3274	AGS
