date	value	key
1996	121	AA
1997	135	AA
1998	134	AA
1999	143	AA
2000	153	AA
2001	150	AA
2002	188	AA
2003	224	AA
2004	185	AA
2005	213	AA
2006	187	AA
2007	209	AA
2008	210	AA
2009	220	AA
2010	237	AA
2011	223	AA
2012	278	AA
2013	272	AA
2014	210	AA
2015	226	AA
2016	261	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	1	AES
2003	1	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	0	AES
2016	0	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	1	AFA
2002	1	AFA
2003	1	AFA
2004	1	AFA
2005	0	AFA
2006	2	AFA
2007	2	AFA
2008	0	AFA
2009	0	AFA
2010	0	AFA
2011	2	AFA
2012	0	AFA
2013	0	AFA
2014	1	AFA
2015	0	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	1	AAT
2010	1	AAT
2011	0	AAT
2012	1	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	1	AAT
1996	127	AS
1997	107	AS
1998	107	AS
1999	108	AS
2000	99	AS
2001	89	AS
2002	115	AS
2003	99	AS
2004	89	AS
2005	124	AS
2006	116	AS
2007	140	AS
2008	130	AS
2009	135	AS
2010	149	AS
2011	162	AS
2012	160	AS
2013	181	AS
2014	143	AS
2015	155	AS
2016	211	AS
1996	540	AAPS
1997	445	AAPS
1998	445	AAPS
1999	406	AAPS
2000	447	AAPS
2001	398	AAPS
2002	411	AAPS
2003	333	AAPS
2004	362	AAPS
2005	374	AAPS
2006	381	AAPS
2007	385	AAPS
2008	364	AAPS
2009	340	AAPS
2010	358	AAPS
2011	476	AAPS
2012	427	AAPS
2013	369	AAPS
2014	295	AAPS
2015	295	AAPS
2016	318	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	17	AGS
1997	23	AGS
1998	14	AGS
1999	21	AGS
2000	28	AGS
2001	26	AGS
2002	19	AGS
2003	28	AGS
2004	28	AGS
2005	40	AGS
2006	52	AGS
2007	89	AGS
2008	84	AGS
2009	118	AGS
2010	102	AGS
2011	141	AGS
2012	180	AGS
2013	134	AGS
2014	97	AGS
2015	110	AGS
2016	87	AGS
