date	value	key
1996	56	AA
1997	69	AA
1998	74	AA
1999	63	AA
2000	79	AA
2001	73	AA
2002	85	AA
2003	104	AA
2004	137	AA
2005	125	AA
2006	124	AA
2007	103	AA
2008	125	AA
2009	124	AA
2010	152	AA
2011	171	AA
2012	243	AA
2013	254	AA
2014	234	AA
2015	264	AA
2016	241	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	1	AES
2009	0	AES
2010	3	AES
2011	3	AES
2012	2	AES
2013	2	AES
2014	1	AES
2015	1	AES
2016	4	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	1	AFA
2008	0	AFA
2009	2	AFA
2010	1	AFA
2011	1	AFA
2012	1	AFA
2013	0	AFA
2014	0	AFA
2015	2	AFA
2016	0	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	215	AS
1997	240	AS
1998	257	AS
1999	269	AS
2000	236	AS
2001	238	AS
2002	216	AS
2003	274	AS
2004	259	AS
2005	178	AS
2006	219	AS
2007	231	AS
2008	301	AS
2009	341	AS
2010	319	AS
2011	358	AS
2012	486	AS
2013	526	AS
2014	505	AS
2015	519	AS
2016	520	AS
1996	136	AAPS
1997	130	AAPS
1998	135	AAPS
1999	114	AAPS
2000	121	AAPS
2001	110	AAPS
2002	102	AAPS
2003	97	AAPS
2004	137	AAPS
2005	116	AAPS
2006	155	AAPS
2007	156	AAPS
2008	183	AAPS
2009	210	AAPS
2010	219	AAPS
2011	218	AAPS
2012	258	AAPS
2013	270	AAPS
2014	247	AAPS
2015	242	AAPS
2016	226	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	9	AGS
1997	14	AGS
1998	17	AGS
1999	14	AGS
2000	13	AGS
2001	12	AGS
2002	21	AGS
2003	24	AGS
2004	17	AGS
2005	28	AGS
2006	23	AGS
2007	25	AGS
2008	25	AGS
2009	28	AGS
2010	28	AGS
2011	40	AGS
2012	43	AGS
2013	63	AGS
2014	54	AGS
2015	66	AGS
2016	37	AGS
