date	value	key
1996	44	AA
1997	34	AA
1998	54	AA
1999	50	AA
2000	68	AA
2001	80	AA
2002	85	AA
2003	84	AA
2004	84	AA
2005	69	AA
2006	64	AA
2007	70	AA
2008	69	AA
2009	93	AA
2010	76	AA
2011	89	AA
2012	82	AA
2013	101	AA
2014	80	AA
2015	109	AA
2016	88	AA
1996	0	AES
1997	0	AES
1998	0	AES
1999	0	AES
2000	0	AES
2001	0	AES
2002	0	AES
2003	0	AES
2004	0	AES
2005	0	AES
2006	0	AES
2007	0	AES
2008	0	AES
2009	0	AES
2010	0	AES
2011	0	AES
2012	0	AES
2013	0	AES
2014	0	AES
2015	1	AES
2016	5	AES
1996	0	AFA
1997	0	AFA
1998	0	AFA
1999	0	AFA
2000	0	AFA
2001	0	AFA
2002	0	AFA
2003	0	AFA
2004	0	AFA
2005	0	AFA
2006	0	AFA
2007	0	AFA
2008	0	AFA
2009	1	AFA
2010	0	AFA
2011	1	AFA
2012	2	AFA
2013	0	AFA
2014	0	AFA
2015	2	AFA
2016	1	AFA
1996	0	AAT
1997	0	AAT
1998	0	AAT
1999	0	AAT
2000	0	AAT
2001	0	AAT
2002	0	AAT
2003	0	AAT
2004	0	AAT
2005	0	AAT
2006	0	AAT
2007	0	AAT
2008	0	AAT
2009	0	AAT
2010	0	AAT
2011	0	AAT
2012	0	AAT
2013	0	AAT
2014	0	AAT
2015	0	AAT
2016	0	AAT
1996	30	AS
1997	43	AS
1998	53	AS
1999	51	AS
2000	64	AS
2001	42	AS
2002	96	AS
2003	88	AS
2004	79	AS
2005	101	AS
2006	97	AS
2007	113	AS
2008	124	AS
2009	155	AS
2010	142	AS
2011	140	AS
2012	134	AS
2013	112	AS
2014	91	AS
2015	105	AS
2016	120	AS
1996	82	AAPS
1997	94	AAPS
1998	88	AAPS
1999	78	AAPS
2000	86	AAPS
2001	100	AAPS
2002	80	AAPS
2003	95	AAPS
2004	88	AAPS
2005	111	AAPS
2006	106	AAPS
2007	120	AAPS
2008	136	AAPS
2009	100	AAPS
2010	156	AAPS
2011	176	AAPS
2012	147	AAPS
2013	119	AAPS
2014	99	AAPS
2015	93	AAPS
2016	107	AAPS
1996	0	AAS
1997	0	AAS
1998	0	AAS
1999	0	AAS
2000	0	AAS
2001	0	AAS
2002	0	AAS
2003	0	AAS
2004	0	AAS
2005	0	AAS
2006	0	AAS
2007	0	AAS
2008	0	AAS
2009	0	AAS
2010	0	AAS
2011	0	AAS
2012	0	AAS
2013	0	AAS
2014	0	AAS
2015	0	AAS
2016	0	AAS
1996	0	AGS
1997	2	AGS
1998	2	AGS
1999	3	AGS
2000	2	AGS
2001	0	AGS
2002	0	AGS
2003	0	AGS
2004	0	AGS
2005	2	AGS
2006	0	AGS
2007	2	AGS
2008	0	AGS
2009	1	AGS
2010	1	AGS
2011	0	AGS
2012	1	AGS
2013	0	AGS
2014	0	AGS
2015	0	AGS
2016	0	AGS
