date	key	total	value
1996	AA	1218.0	425
1997	AA	0.0	0
1998	AA	0.0	0
1999	AA	0.0	0
2000	AA	0.0	0
2001	AA	0.0	0
2002	AA	0.0	0
2003	AA	0.0	0
2004	AA	0.0	0
2005	AA	0.0	0
2006	AA	0.0	0
2007	AA	0.0	0
2008	AA	0.0	0
2009	AA	0.0	0
2010	AA	0.0	0
2011	AA	0.0	0
2012	AA	0.0	0
2013	AA	0.0	0
2014	AA	0.0	0
2015	AA	0.0	0
2016	AA	0.0	0
1996	AES	1218.0	0
1997	AES	0.0	0
1998	AES	0.0	0
1999	AES	0.0	0
2000	AES	0.0	0
2001	AES	0.0	0
2002	AES	0.0	0
2003	AES	0.0	0
2004	AES	0.0	0
2005	AES	0.0	0
2006	AES	0.0	0
2007	AES	0.0	0
2008	AES	0.0	0
2009	AES	0.0	0
2010	AES	0.0	0
2011	AES	0.0	0
2012	AES	0.0	0
2013	AES	0.0	0
2014	AES	0.0	0
2015	AES	0.0	0
2016	AES	0.0	0
1996	AS	1218.0	326
1997	AS	0.0	0
1998	AS	0.0	0
1999	AS	0.0	0
2000	AS	0.0	0
2001	AS	0.0	0
2002	AS	0.0	0
2003	AS	0.0	0
2004	AS	0.0	0
2005	AS	0.0	0
2006	AS	0.0	0
2007	AS	0.0	0
2008	AS	0.0	0
2009	AS	0.0	0
2010	AS	0.0	0
2011	AS	0.0	0
2012	AS	0.0	0
2013	AS	0.0	0
2014	AS	0.0	0
2015	AS	0.0	0
2016	AS	0.0	0
1996	AAPS	1218.0	467
1997	AAPS	0.0	0
1998	AAPS	0.0	0
1999	AAPS	0.0	0
2000	AAPS	0.0	0
2001	AAPS	0.0	0
2002	AAPS	0.0	0
2003	AAPS	0.0	0
2004	AAPS	0.0	0
2005	AAPS	0.0	0
2006	AAPS	0.0	0
2007	AAPS	0.0	0
2008	AAPS	0.0	0
2009	AAPS	0.0	0
2010	AAPS	0.0	0
2011	AAPS	0.0	0
2012	AAPS	0.0	0
2013	AAPS	0.0	0
2014	AAPS	0.0	0
2015	AAPS	0.0	0
2016	AAPS	0.0	0
1996	AAS	1218.0	0
1997	AAS	0.0	0
1998	AAS	0.0	0
1999	AAS	0.0	0
2000	AAS	0.0	0
2001	AAS	0.0	0
2002	AAS	0.0	0
2003	AAS	0.0	0
2004	AAS	0.0	0
2005	AAS	0.0	0
2006	AAS	0.0	0
2007	AAS	0.0	0
2008	AAS	0.0	0
2009	AAS	0.0	0
2010	AAS	0.0	0
2011	AAS	0.0	0
2012	AAS	0.0	0
2013	AAS	0.0	0
2014	AAS	0.0	0
2015	AAS	0.0	0
2016	AAS	0.0	0
1996	AGS	1218.0	0
1997	AGS	0.0	0
1998	AGS	0.0	0
1999	AGS	0.0	0
2000	AGS	0.0	0
2001	AGS	0.0	0
2002	AGS	0.0	0
2003	AGS	0.0	0
2004	AGS	0.0	0
2005	AGS	0.0	0
2006	AGS	0.0	0
2007	AGS	0.0	0
2008	AGS	0.0	0
2009	AGS	0.0	0
2010	AGS	0.0	0
2011	AGS	0.0	0
2012	AGS	0.0	0
2013	AGS	0.0	0
2014	AGS	0.0	0
2015	AGS	0.0	0
2016	AGS	0.0	0
