date	key	total	value
1996	AA	595.0	250
1997	AA	1196.0	416
1998	AA	1142.0	415
1999	AA	577.0	255
2000	AA	609.0	273
2001	AA	519.0	219
2002	AA	550.0	269
2003	AA	576.0	264
2004	AA	562.0	279
2005	AA	578.0	251
2006	AA	610.0	266
2007	AA	607.0	281
2008	AA	575.0	268
2009	AA	533.0	237
2010	AA	508.0	228
2011	AA	472.0	197
2012	AA	540.0	230
2013	AA	569.0	233
2014	AA	667.0	256
2015	AA	571.0	221
2016	AA	559.0	226
1996	AES	595.0	0
1997	AES	1196.0	0
1998	AES	1142.0	0
1999	AES	577.0	0
2000	AES	609.0	0
2001	AES	519.0	0
2002	AES	550.0	0
2003	AES	576.0	0
2004	AES	562.0	0
2005	AES	578.0	0
2006	AES	610.0	0
2007	AES	607.0	0
2008	AES	575.0	0
2009	AES	533.0	0
2010	AES	508.0	0
2011	AES	472.0	0
2012	AES	540.0	0
2013	AES	569.0	0
2014	AES	667.0	0
2015	AES	571.0	0
2016	AES	559.0	0
1996	AFA	0.0	0
1997	AFA	1196.0	0
1998	AFA	1142.0	0
1999	AFA	577.0	0
2000	AFA	609.0	0
2001	AFA	519.0	0
2002	AFA	550.0	0
2003	AFA	576.0	0
2004	AFA	562.0	0
2005	AFA	578.0	0
2006	AFA	610.0	0
2007	AFA	607.0	0
2008	AFA	575.0	0
2009	AFA	533.0	0
2010	AFA	508.0	0
2011	AFA	472.0	0
2012	AFA	540.0	0
2013	AFA	569.0	0
2014	AFA	667.0	0
2015	AFA	571.0	0
2016	AFA	559.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	575.0	0
2009	AAT	533.0	0
2010	AAT	508.0	2
2011	AAT	472.0	2
2012	AAT	540.0	3
2013	AAT	569.0	3
2014	AAT	667.0	0
2015	AAT	571.0	0
2016	AAT	559.0	1
1996	AS	595.0	65
1997	AS	1196.0	307
1998	AS	1142.0	271
1999	AS	577.0	76
2000	AS	609.0	64
2001	AS	519.0	88
2002	AS	550.0	82
2003	AS	576.0	80
2004	AS	562.0	79
2005	AS	578.0	100
2006	AS	610.0	90
2007	AS	607.0	96
2008	AS	575.0	87
2009	AS	533.0	86
2010	AS	508.0	80
2011	AS	472.0	75
2012	AS	540.0	118
2013	AS	569.0	122
2014	AS	667.0	152
2015	AS	571.0	127
2016	AS	559.0	129
1996	AAPS	595.0	258
1997	AAPS	1196.0	473
1998	AAPS	1142.0	456
1999	AAPS	577.0	220
2000	AAPS	609.0	261
2001	AAPS	519.0	205
2002	AAPS	550.0	182
2003	AAPS	576.0	215
2004	AAPS	562.0	190
2005	AAPS	578.0	222
2006	AAPS	610.0	243
2007	AAPS	607.0	225
2008	AAPS	575.0	214
2009	AAPS	533.0	206
2010	AAPS	508.0	196
2011	AAPS	472.0	194
2012	AAPS	540.0	185
2013	AAPS	569.0	211
2014	AAPS	667.0	258
2015	AAPS	571.0	222
2016	AAPS	559.0	200
1996	AAS	595.0	0
1997	AAS	1196.0	0
1998	AAS	1142.0	0
1999	AAS	577.0	0
2000	AAS	609.0	0
2001	AAS	519.0	0
2002	AAS	550.0	0
2003	AAS	576.0	0
2004	AAS	562.0	0
2005	AAS	578.0	0
2006	AAS	610.0	0
2007	AAS	607.0	0
2008	AAS	575.0	0
2009	AAS	533.0	0
2010	AAS	508.0	0
2011	AAS	472.0	0
2012	AAS	540.0	0
2013	AAS	569.0	0
2014	AAS	667.0	0
2015	AAS	571.0	0
2016	AAS	559.0	0
1996	AGS	595.0	22
1997	AGS	1196.0	0
1998	AGS	1142.0	0
1999	AGS	577.0	26
2000	AGS	609.0	11
2001	AGS	519.0	7
2002	AGS	550.0	17
2003	AGS	576.0	17
2004	AGS	562.0	14
2005	AGS	578.0	5
2006	AGS	610.0	11
2007	AGS	607.0	5
2008	AGS	575.0	6
2009	AGS	533.0	4
2010	AGS	508.0	2
2011	AGS	472.0	4
2012	AGS	540.0	4
2013	AGS	569.0	0
2014	AGS	667.0	1
2015	AGS	571.0	1
2016	AGS	559.0	3
