date	key	total	value
1996	AA	2628.0	761
1997	AA	647.0	261
1998	AA	590.0	236
1999	AA	1926.0	744
2000	AA	1956.0	809
2001	AA	1583.0	739
2002	AA	1552.0	713
2003	AA	1583.0	741
2004	AA	1884.0	903
2005	AA	1970.0	958
2006	AA	1884.0	865
2007	AA	2122.0	980
2008	AA	1803.0	919
2009	AA	2361.0	1019
2010	AA	2556.0	1111
2011	AA	2494.0	1115
2012	AA	3323.0	1360
2013	AA	3779.0	1410
2014	AA	4350.0	1523
2015	AA	4950.0	2099
2016	AA	5012.0	2073
1996	AES	2628.0	0
1997	AES	647.0	0
1998	AES	590.0	0
1999	AES	1926.0	8
2000	AES	1956.0	1
2001	AES	1583.0	2
2002	AES	1552.0	9
2003	AES	1583.0	15
2004	AES	1884.0	11
2005	AES	1970.0	19
2006	AES	1884.0	8
2007	AES	2122.0	11
2008	AES	1803.0	18
2009	AES	2361.0	14
2010	AES	2556.0	12
2011	AES	2494.0	13
2012	AES	3323.0	8
2013	AES	3779.0	25
2014	AES	4350.0	27
2015	AES	4950.0	19
2016	AES	5012.0	18
1996	AFA	0.0	0
1997	AFA	647.0	0
1998	AFA	590.0	0
1999	AFA	1926.0	0
2000	AFA	1956.0	0
2001	AFA	1583.0	0
2002	AFA	1552.0	1
2003	AFA	1583.0	0
2004	AFA	1884.0	0
2005	AFA	1970.0	1
2006	AFA	1884.0	3
2007	AFA	2122.0	3
2008	AFA	1803.0	4
2009	AFA	2361.0	3
2010	AFA	2556.0	0
2011	AFA	2494.0	4
2012	AFA	3323.0	1
2013	AFA	3779.0	5
2014	AFA	4350.0	11
2015	AFA	4950.0	4
2016	AFA	5012.0	5
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1803.0	0
2009	AAT	2361.0	0
2010	AAT	2556.0	0
2011	AAT	2494.0	0
2012	AAT	3323.0	0
2013	AAT	3779.0	1
2014	AAT	4350.0	0
2015	AAT	4950.0	0
2016	AAT	5012.0	0
1996	AS	2628.0	481
1997	AS	647.0	81
1998	AS	590.0	78
1999	AS	1926.0	179
2000	AS	1956.0	132
2001	AS	1583.0	126
2002	AS	1552.0	98
2003	AS	1583.0	110
2004	AS	1884.0	144
2005	AS	1970.0	141
2006	AS	1884.0	135
2007	AS	2122.0	173
2008	AS	1803.0	170
2009	AS	2361.0	201
2010	AS	2556.0	134
2011	AS	2494.0	164
2012	AS	3323.0	175
2013	AS	3779.0	213
2014	AS	4350.0	254
2015	AS	4950.0	574
2016	AS	5012.0	889
1996	AAPS	2628.0	1141
1997	AAPS	647.0	280
1998	AAPS	590.0	266
1999	AAPS	1926.0	785
2000	AAPS	1956.0	707
2001	AAPS	1583.0	528
2002	AAPS	1552.0	571
2003	AAPS	1583.0	630
2004	AAPS	1884.0	761
2005	AAPS	1970.0	769
2006	AAPS	1884.0	787
2007	AAPS	2122.0	845
2008	AAPS	1803.0	607
2009	AAPS	2361.0	956
2010	AAPS	2556.0	1141
2011	AAPS	2494.0	950
2012	AAPS	3323.0	1262
2013	AAPS	3779.0	1228
2014	AAPS	4350.0	1106
2015	AAPS	4950.0	1068
2016	AAPS	5012.0	980
1996	AAS	2628.0	0
1997	AAS	647.0	0
1998	AAS	590.0	0
1999	AAS	1926.0	0
2000	AAS	1956.0	0
2001	AAS	1583.0	0
2002	AAS	1552.0	0
2003	AAS	1583.0	0
2004	AAS	1884.0	0
2005	AAS	1970.0	0
2006	AAS	1884.0	0
2007	AAS	2122.0	0
2008	AAS	1803.0	0
2009	AAS	2361.0	0
2010	AAS	2556.0	0
2011	AAS	2494.0	0
2012	AAS	3323.0	0
2013	AAS	3779.0	0
2014	AAS	4350.0	0
2015	AAS	4950.0	0
2016	AAS	5012.0	0
1996	AGS	2628.0	245
1997	AGS	647.0	25
1998	AGS	590.0	10
1999	AGS	1926.0	210
2000	AGS	1956.0	307
2001	AGS	1583.0	188
2002	AGS	1552.0	160
2003	AGS	1583.0	87
2004	AGS	1884.0	65
2005	AGS	1970.0	82
2006	AGS	1884.0	86
2007	AGS	2122.0	110
2008	AGS	1803.0	85
2009	AGS	2361.0	168
2010	AGS	2556.0	158
2011	AGS	2494.0	248
2012	AGS	3323.0	517
2013	AGS	3779.0	897
2014	AGS	4350.0	1429
2015	AGS	4950.0	1186
2016	AGS	5012.0	1047
