date	key	total	value
1996	AA	206.0	44
1997	AA	2507.0	832
1998	AA	2206.0	927
1999	AA	242.0	57
2000	AA	289.0	60
2001	AA	277.0	25
2002	AA	240.0	6
2003	AA	208.0	2
2004	AA	195.0	1
2005	AA	217.0	0
2006	AA	190.0	0
2007	AA	241.0	0
2008	AA	270.0	0
2009	AA	243.0	0
2010	AA	249.0	0
2011	AA	278.0	0
2012	AA	304.0	0
2013	AA	326.0	0
2014	AA	342.0	0
2015	AA	295.0	0
2016	AA	360.0	0
1996	AES	206.0	0
1997	AES	2507.0	0
1998	AES	2206.0	0
1999	AES	242.0	0
2000	AES	289.0	3
2001	AES	277.0	1
2002	AES	240.0	2
2003	AES	208.0	0
2004	AES	195.0	8
2005	AES	217.0	3
2006	AES	190.0	1
2007	AES	241.0	2
2008	AES	270.0	4
2009	AES	243.0	4
2010	AES	249.0	1
2011	AES	278.0	0
2012	AES	304.0	3
2013	AES	326.0	3
2014	AES	342.0	2
2015	AES	295.0	2
2016	AES	360.0	0
1996	AFA	0.0	0
1997	AFA	2507.0	0
1998	AFA	2206.0	0
1999	AFA	242.0	0
2000	AFA	289.0	0
2001	AFA	277.0	0
2002	AFA	240.0	0
2003	AFA	208.0	0
2004	AFA	195.0	0
2005	AFA	217.0	0
2006	AFA	190.0	0
2007	AFA	241.0	0
2008	AFA	270.0	0
2009	AFA	243.0	0
2010	AFA	249.0	0
2011	AFA	278.0	0
2012	AFA	304.0	0
2013	AFA	326.0	0
2014	AFA	342.0	0
2015	AFA	295.0	0
2016	AFA	360.0	1
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	270.0	0
2009	AAT	243.0	0
2010	AAT	249.0	0
2011	AAT	278.0	0
2012	AAT	304.0	0
2013	AAT	326.0	0
2014	AAT	342.0	0
2015	AAT	295.0	0
2016	AAT	360.0	0
1996	AS	206.0	41
1997	AS	2507.0	499
1998	AS	2206.0	193
1999	AS	242.0	60
2000	AS	289.0	59
2001	AS	277.0	35
2002	AS	240.0	12
2003	AS	208.0	5
2004	AS	195.0	0
2005	AS	217.0	1
2006	AS	190.0	0
2007	AS	241.0	0
2008	AS	270.0	0
2009	AS	243.0	0
2010	AS	249.0	0
2011	AS	278.0	0
2012	AS	304.0	0
2013	AS	326.0	0
2014	AS	342.0	0
2015	AS	295.0	0
2016	AS	360.0	0
1996	AAPS	206.0	121
1997	AAPS	2507.0	978
1998	AAPS	2206.0	868
1999	AAPS	242.0	125
2000	AAPS	289.0	150
2001	AAPS	277.0	155
2002	AAPS	240.0	117
2003	AAPS	208.0	113
2004	AAPS	195.0	93
2005	AAPS	217.0	90
2006	AAPS	190.0	105
2007	AAPS	241.0	107
2008	AAPS	270.0	134
2009	AAPS	243.0	122
2010	AAPS	249.0	137
2011	AAPS	278.0	142
2012	AAPS	304.0	166
2013	AAPS	326.0	132
2014	AAPS	342.0	164
2015	AAPS	295.0	130
2016	AAPS	360.0	155
1996	AAS	206.0	0
1997	AAS	2507.0	0
1998	AAS	2206.0	0
1999	AAS	242.0	0
2000	AAS	289.0	17
2001	AAS	277.0	61
2002	AAS	240.0	103
2003	AAS	208.0	88
2004	AAS	195.0	93
2005	AAS	217.0	123
2006	AAS	190.0	75
2007	AAS	241.0	109
2008	AAS	270.0	110
2009	AAS	243.0	101
2010	AAS	249.0	97
2011	AAS	278.0	110
2012	AAS	304.0	107
2013	AAS	326.0	138
2014	AAS	342.0	134
2015	AAS	295.0	134
2016	AAS	360.0	148
1996	AGS	206.0	0
1997	AGS	2507.0	198
1998	AGS	2206.0	218
1999	AGS	242.0	0
2000	AGS	289.0	0
2001	AGS	277.0	0
2002	AGS	240.0	0
2003	AGS	208.0	0
2004	AGS	195.0	0
2005	AGS	217.0	0
2006	AGS	190.0	9
2007	AGS	241.0	23
2008	AGS	270.0	22
2009	AGS	243.0	16
2010	AGS	249.0	14
2011	AGS	278.0	26
2012	AGS	304.0	28
2013	AGS	326.0	53
2014	AGS	342.0	42
2015	AGS	295.0	29
2016	AGS	360.0	56
