date	key	total	value
1996	AA	1660.0	797
1997	AA	203.0	41
1998	AA	263.0	63
1999	AA	1530.0	738
2000	AA	1558.0	773
2001	AA	1535.0	742
2002	AA	1387.0	660
2003	AA	1696.0	766
2004	AA	1783.0	828
2005	AA	1996.0	878
2006	AA	1854.0	775
2007	AA	1528.0	666
2008	AA	1484.0	652
2009	AA	1630.0	688
2010	AA	1677.0	739
2011	AA	1725.0	715
2012	AA	1912.0	771
2013	AA	1999.0	794
2014	AA	2448.0	930
2015	AA	2887.0	1021
2016	AA	2746.0	1034
1996	AES	1660.0	9
1997	AES	203.0	0
1998	AES	263.0	0
1999	AES	1530.0	4
2000	AES	1558.0	6
2001	AES	1535.0	9
2002	AES	1387.0	8
2003	AES	1696.0	11
2004	AES	1783.0	10
2005	AES	1996.0	7
2006	AES	1854.0	7
2007	AES	1528.0	5
2008	AES	1484.0	7
2009	AES	1630.0	7
2010	AES	1677.0	8
2011	AES	1725.0	10
2012	AES	1912.0	14
2013	AES	1999.0	15
2014	AES	2448.0	27
2015	AES	2887.0	40
2016	AES	2746.0	33
1996	AFA	0.0	0
1997	AFA	203.0	0
1998	AFA	263.0	0
1999	AFA	1530.0	0
2000	AFA	1558.0	0
2001	AFA	1535.0	0
2002	AFA	1387.0	0
2003	AFA	1696.0	0
2004	AFA	1783.0	0
2005	AFA	1996.0	0
2006	AFA	1854.0	0
2007	AFA	1528.0	0
2008	AFA	1484.0	0
2009	AFA	1630.0	0
2010	AFA	1677.0	5
2011	AFA	1725.0	8
2012	AFA	1912.0	13
2013	AFA	1999.0	11
2014	AFA	2448.0	15
2015	AFA	2887.0	8
2016	AFA	2746.0	12
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1484.0	0
2009	AAT	1630.0	0
2010	AAT	1677.0	0
2011	AAT	1725.0	0
2012	AAT	1912.0	3
2013	AAT	1999.0	0
2014	AAT	2448.0	1
2015	AAT	2887.0	5
2016	AAT	2746.0	3
1996	AS	1660.0	206
1997	AS	203.0	50
1998	AS	263.0	61
1999	AS	1530.0	185
2000	AS	1558.0	135
2001	AS	1535.0	131
2002	AS	1387.0	104
2003	AS	1696.0	133
2004	AS	1783.0	121
2005	AS	1996.0	128
2006	AS	1854.0	105
2007	AS	1528.0	98
2008	AS	1484.0	130
2009	AS	1630.0	136
2010	AS	1677.0	122
2011	AS	1725.0	123
2012	AS	1912.0	172
2013	AS	1999.0	232
2014	AS	2448.0	294
2015	AS	2887.0	378
2016	AS	2746.0	341
1996	AAPS	1660.0	564
1997	AAPS	203.0	112
1998	AAPS	263.0	139
1999	AAPS	1530.0	502
2000	AAPS	1558.0	547
2001	AAPS	1535.0	534
2002	AAPS	1387.0	525
2003	AAPS	1696.0	666
2004	AAPS	1783.0	702
2005	AAPS	1996.0	815
2006	AAPS	1854.0	822
2007	AAPS	1528.0	626
2008	AAPS	1484.0	569
2009	AAPS	1630.0	639
2010	AAPS	1677.0	658
2011	AAPS	1725.0	695
2012	AAPS	1912.0	757
2013	AAPS	1999.0	764
2014	AAPS	2448.0	791
2015	AAPS	2887.0	891
2016	AAPS	2746.0	892
1996	AAS	1660.0	0
1997	AAS	203.0	0
1998	AAS	263.0	0
1999	AAS	1530.0	0
2000	AAS	1558.0	0
2001	AAS	1535.0	0
2002	AAS	1387.0	0
2003	AAS	1696.0	0
2004	AAS	1783.0	0
2005	AAS	1996.0	0
2006	AAS	1854.0	0
2007	AAS	1528.0	0
2008	AAS	1484.0	0
2009	AAS	1630.0	0
2010	AAS	1677.0	0
2011	AAS	1725.0	0
2012	AAS	1912.0	0
2013	AAS	1999.0	0
2014	AAS	2448.0	0
2015	AAS	2887.0	0
2016	AAS	2746.0	0
1996	AGS	1660.0	84
1997	AGS	203.0	0
1998	AGS	263.0	0
1999	AGS	1530.0	101
2000	AGS	1558.0	97
2001	AGS	1535.0	119
2002	AGS	1387.0	90
2003	AGS	1696.0	120
2004	AGS	1783.0	122
2005	AGS	1996.0	168
2006	AGS	1854.0	145
2007	AGS	1528.0	133
2008	AGS	1484.0	126
2009	AGS	1630.0	160
2010	AGS	1677.0	145
2011	AGS	1725.0	174
2012	AGS	1912.0	182
2013	AGS	1999.0	183
2014	AGS	2448.0	390
2015	AGS	2887.0	544
2016	AGS	2746.0	431
