date	key	total	value
1996	AA	606.0	204
1997	AA	1597.0	807
1998	AA	1758.0	841
1999	AA	721.0	292
2000	AA	687.0	276
2001	AA	694.0	295
2002	AA	649.0	325
2003	AA	725.0	364
2004	AA	734.0	338
2005	AA	735.0	351
2006	AA	773.0	351
2007	AA	691.0	323
2008	AA	771.0	345
2009	AA	823.0	375
2010	AA	920.0	427
2011	AA	1015.0	427
2012	AA	1157.0	496
2013	AA	1172.0	524
2014	AA	1094.0	466
2015	AA	1199.0	529
2016	AA	1221.0	522
1996	AES	606.0	0
1997	AES	1597.0	9
1998	AES	1758.0	12
1999	AES	721.0	0
2000	AES	687.0	2
2001	AES	694.0	2
2002	AES	649.0	9
2003	AES	725.0	2
2004	AES	734.0	10
2005	AES	735.0	6
2006	AES	773.0	7
2007	AES	691.0	0
2008	AES	771.0	7
2009	AES	823.0	3
2010	AES	920.0	8
2011	AES	1015.0	3
2012	AES	1157.0	15
2013	AES	1172.0	14
2014	AES	1094.0	14
2015	AES	1199.0	19
2016	AES	1221.0	26
1996	AFA	0.0	0
1997	AFA	1597.0	0
1998	AFA	1758.0	0
1999	AFA	721.0	1
2000	AFA	687.0	1
2001	AFA	694.0	0
2002	AFA	649.0	2
2003	AFA	725.0	2
2004	AFA	734.0	3
2005	AFA	735.0	6
2006	AFA	773.0	5
2007	AFA	691.0	0
2008	AFA	771.0	7
2009	AFA	823.0	5
2010	AFA	920.0	5
2011	AFA	1015.0	1
2012	AFA	1157.0	3
2013	AFA	1172.0	7
2014	AFA	1094.0	11
2015	AFA	1199.0	9
2016	AFA	1221.0	5
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	771.0	0
2009	AAT	823.0	0
2010	AAT	920.0	0
2011	AAT	1015.0	0
2012	AAT	1157.0	0
2013	AAT	1172.0	0
2014	AAT	1094.0	0
2015	AAT	1199.0	0
2016	AAT	1221.0	0
1996	AS	606.0	192
1997	AS	1597.0	186
1998	AS	1758.0	211
1999	AS	721.0	190
2000	AS	687.0	185
2001	AS	694.0	135
2002	AS	649.0	118
2003	AS	725.0	114
2004	AS	734.0	113
2005	AS	735.0	103
2006	AS	773.0	102
2007	AS	691.0	76
2008	AS	771.0	106
2009	AS	823.0	89
2010	AS	920.0	108
2011	AS	1015.0	142
2012	AS	1157.0	145
2013	AS	1172.0	197
2014	AS	1094.0	196
2015	AS	1199.0	231
2016	AS	1221.0	256
1996	AAPS	606.0	206
1997	AAPS	1597.0	525
1998	AAPS	1758.0	602
1999	AAPS	721.0	233
2000	AAPS	687.0	214
2001	AAPS	694.0	255
2002	AAPS	649.0	188
2003	AAPS	725.0	205
2004	AAPS	734.0	242
2005	AAPS	735.0	230
2006	AAPS	773.0	261
2007	AAPS	691.0	258
2008	AAPS	771.0	271
2009	AAPS	823.0	308
2010	AAPS	920.0	319
2011	AAPS	1015.0	375
2012	AAPS	1157.0	422
2013	AAPS	1172.0	387
2014	AAPS	1094.0	366
2015	AAPS	1199.0	369
2016	AAPS	1221.0	389
1996	AAS	606.0	0
1997	AAS	1597.0	0
1998	AAS	1758.0	0
1999	AAS	721.0	0
2000	AAS	687.0	0
2001	AAS	694.0	0
2002	AAS	649.0	0
2003	AAS	725.0	0
2004	AAS	734.0	0
2005	AAS	735.0	0
2006	AAS	773.0	0
2007	AAS	691.0	0
2008	AAS	771.0	0
2009	AAS	823.0	0
2010	AAS	920.0	0
2011	AAS	1015.0	0
2012	AAS	1157.0	0
2013	AAS	1172.0	0
2014	AAS	1094.0	0
2015	AAS	1199.0	0
2016	AAS	1221.0	0
1996	AGS	606.0	4
1997	AGS	1597.0	70
1998	AGS	1758.0	92
1999	AGS	721.0	5
2000	AGS	687.0	9
2001	AGS	694.0	7
2002	AGS	649.0	7
2003	AGS	725.0	38
2004	AGS	734.0	28
2005	AGS	735.0	39
2006	AGS	773.0	47
2007	AGS	691.0	34
2008	AGS	771.0	35
2009	AGS	823.0	43
2010	AGS	920.0	53
2011	AGS	1015.0	67
2012	AGS	1157.0	76
2013	AGS	1172.0	43
2014	AGS	1094.0	41
2015	AGS	1199.0	42
2016	AGS	1221.0	23
