date	key	total	value
1996	AA	1094.0	585
1997	AA	691.0	231
1998	AA	770.0	249
1999	AA	1103.0	648
2000	AA	1092.0	624
2001	AA	960.0	652
2002	AA	964.0	629
2003	AA	1025.0	611
2004	AA	1035.0	642
2005	AA	1122.0	680
2006	AA	1332.0	820
2007	AA	1476.0	790
2008	AA	1262.0	794
2009	AA	1271.0	764
2010	AA	1269.0	763
2011	AA	1456.0	883
2012	AA	1643.0	1027
2013	AA	1675.0	1023
2014	AA	1772.0	937
2015	AA	1620.0	892
2016	AA	1611.0	921
1996	AES	1094.0	0
1997	AES	691.0	0
1998	AES	770.0	0
1999	AES	1103.0	1
2000	AES	1092.0	3
2001	AES	960.0	4
2002	AES	964.0	1
2003	AES	1025.0	0
2004	AES	1035.0	1
2005	AES	1122.0	4
2006	AES	1332.0	0
2007	AES	1476.0	8
2008	AES	1262.0	4
2009	AES	1271.0	2
2010	AES	1269.0	4
2011	AES	1456.0	2
2012	AES	1643.0	2
2013	AES	1675.0	6
2014	AES	1772.0	3
2015	AES	1620.0	9
2016	AES	1611.0	15
1996	AFA	0.0	0
1997	AFA	691.0	0
1998	AFA	770.0	0
1999	AFA	1103.0	7
2000	AFA	1092.0	7
2001	AFA	960.0	9
2002	AFA	964.0	5
2003	AFA	1025.0	13
2004	AFA	1035.0	3
2005	AFA	1122.0	7
2006	AFA	1332.0	7
2007	AFA	1476.0	6
2008	AFA	1262.0	5
2009	AFA	1271.0	5
2010	AFA	1269.0	6
2011	AFA	1456.0	6
2012	AFA	1643.0	3
2013	AFA	1675.0	7
2014	AFA	1772.0	5
2015	AFA	1620.0	7
2016	AFA	1611.0	6
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1262.0	0
2009	AAT	1271.0	0
2010	AAT	1269.0	0
2011	AAT	1456.0	0
2012	AAT	1643.0	0
2013	AAT	1675.0	1
2014	AAT	1772.0	0
2015	AAT	1620.0	0
2016	AAT	1611.0	0
1996	AS	1094.0	174
1997	AS	691.0	234
1998	AS	770.0	246
1999	AS	1103.0	59
2000	AS	1092.0	30
2001	AS	960.0	13
2002	AS	964.0	23
2003	AS	1025.0	22
2004	AS	1035.0	37
2005	AS	1122.0	33
2006	AS	1332.0	11
2007	AS	1476.0	27
2008	AS	1262.0	16
2009	AS	1271.0	34
2010	AS	1269.0	83
2011	AS	1456.0	101
2012	AS	1643.0	128
2013	AS	1675.0	115
2014	AS	1772.0	138
2015	AS	1620.0	159
2016	AS	1611.0	166
1996	AAPS	1094.0	335
1997	AAPS	691.0	224
1998	AAPS	770.0	275
1999	AAPS	1103.0	388
2000	AAPS	1092.0	428
2001	AAPS	960.0	282
2002	AAPS	964.0	306
2003	AAPS	1025.0	379
2004	AAPS	1035.0	352
2005	AAPS	1122.0	398
2006	AAPS	1332.0	494
2007	AAPS	1476.0	645
2008	AAPS	1262.0	438
2009	AAPS	1271.0	457
2010	AAPS	1269.0	376
2011	AAPS	1456.0	440
2012	AAPS	1643.0	452
2013	AAPS	1675.0	490
2014	AAPS	1772.0	458
2015	AAPS	1620.0	485
2016	AAPS	1611.0	417
1996	AAS	1094.0	0
1997	AAS	691.0	0
1998	AAS	770.0	0
1999	AAS	1103.0	0
2000	AAS	1092.0	0
2001	AAS	960.0	0
2002	AAS	964.0	0
2003	AAS	1025.0	0
2004	AAS	1035.0	0
2005	AAS	1122.0	0
2006	AAS	1332.0	0
2007	AAS	1476.0	0
2008	AAS	1262.0	0
2009	AAS	1271.0	0
2010	AAS	1269.0	0
2011	AAS	1456.0	0
2012	AAS	1643.0	0
2013	AAS	1675.0	0
2014	AAS	1772.0	0
2015	AAS	1620.0	0
2016	AAS	1611.0	0
1996	AGS	1094.0	0
1997	AGS	691.0	2
1998	AGS	770.0	0
1999	AGS	1103.0	0
2000	AGS	1092.0	0
2001	AGS	960.0	0
2002	AGS	964.0	0
2003	AGS	1025.0	0
2004	AGS	1035.0	0
2005	AGS	1122.0	0
2006	AGS	1332.0	0
2007	AGS	1476.0	0
2008	AGS	1262.0	5
2009	AGS	1271.0	9
2010	AGS	1269.0	37
2011	AGS	1456.0	24
2012	AGS	1643.0	31
2013	AGS	1675.0	33
2014	AGS	1772.0	231
2015	AGS	1620.0	68
2016	AGS	1611.0	86
