date	key	total	value
1996	AA	212.0	147
1997	AA	1098.0	601
1998	AA	1124.0	697
1999	AA	349.0	252
2000	AA	347.0	260
2001	AA	358.0	270
2002	AA	453.0	345
2003	AA	510.0	390
2004	AA	528.0	441
2005	AA	527.0	396
2006	AA	582.0	427
2007	AA	566.0	427
2008	AA	502.0	380
2009	AA	546.0	413
2010	AA	640.0	455
2011	AA	674.0	484
2012	AA	677.0	460
2013	AA	607.0	409
2014	AA	700.0	465
2015	AA	638.0	429
2016	AA	696.0	469
1996	AES	212.0	0
1997	AES	1098.0	0
1998	AES	1124.0	0
1999	AES	349.0	0
2000	AES	347.0	0
2001	AES	358.0	0
2002	AES	453.0	3
2003	AES	510.0	2
2004	AES	528.0	2
2005	AES	527.0	3
2006	AES	582.0	0
2007	AES	566.0	3
2008	AES	502.0	0
2009	AES	546.0	0
2010	AES	640.0	2
2011	AES	674.0	1
2012	AES	677.0	9
2013	AES	607.0	3
2014	AES	700.0	7
2015	AES	638.0	3
2016	AES	696.0	2
1996	AFA	0.0	0
1997	AFA	1098.0	0
1998	AFA	1124.0	3
1999	AFA	349.0	0
2000	AFA	347.0	0
2001	AFA	358.0	0
2002	AFA	453.0	0
2003	AFA	510.0	0
2004	AFA	528.0	0
2005	AFA	527.0	0
2006	AFA	582.0	0
2007	AFA	566.0	0
2008	AFA	502.0	0
2009	AFA	546.0	0
2010	AFA	640.0	0
2011	AFA	674.0	0
2012	AFA	677.0	0
2013	AFA	607.0	0
2014	AFA	700.0	0
2015	AFA	638.0	0
2016	AFA	696.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	502.0	0
2009	AAT	546.0	0
2010	AAT	640.0	0
2011	AAT	674.0	0
2012	AAT	677.0	0
2013	AAT	607.0	0
2014	AAT	700.0	0
2015	AAT	638.0	0
2016	AAT	696.0	0
1996	AS	212.0	38
1997	AS	1098.0	176
1998	AS	1124.0	26
1999	AS	349.0	59
2000	AS	347.0	50
2001	AS	358.0	50
2002	AS	453.0	45
2003	AS	510.0	71
2004	AS	528.0	52
2005	AS	527.0	68
2006	AS	582.0	80
2007	AS	566.0	73
2008	AS	502.0	59
2009	AS	546.0	63
2010	AS	640.0	101
2011	AS	674.0	92
2012	AS	677.0	114
2013	AS	607.0	102
2014	AS	700.0	142
2015	AS	638.0	136
2016	AS	696.0	140
1996	AAPS	212.0	27
1997	AAPS	1098.0	321
1998	AAPS	1124.0	398
1999	AAPS	349.0	38
2000	AAPS	347.0	37
2001	AAPS	358.0	38
2002	AAPS	453.0	60
2003	AAPS	510.0	47
2004	AAPS	528.0	33
2005	AAPS	527.0	60
2006	AAPS	582.0	75
2007	AAPS	566.0	63
2008	AAPS	502.0	63
2009	AAPS	546.0	70
2010	AAPS	640.0	82
2011	AAPS	674.0	97
2012	AAPS	677.0	94
2013	AAPS	607.0	93
2014	AAPS	700.0	86
2015	AAPS	638.0	70
2016	AAPS	696.0	85
1996	AAS	212.0	0
1997	AAS	1098.0	0
1998	AAS	1124.0	0
1999	AAS	349.0	0
2000	AAS	347.0	0
2001	AAS	358.0	0
2002	AAS	453.0	0
2003	AAS	510.0	0
2004	AAS	528.0	0
2005	AAS	527.0	0
2006	AAS	582.0	0
2007	AAS	566.0	0
2008	AAS	502.0	0
2009	AAS	546.0	0
2010	AAS	640.0	0
2011	AAS	674.0	0
2012	AAS	677.0	0
2013	AAS	607.0	0
2014	AAS	700.0	0
2015	AAS	638.0	0
2016	AAS	696.0	0
1996	AGS	212.0	0
1997	AGS	1098.0	0
1998	AGS	1124.0	0
1999	AGS	349.0	0
2000	AGS	347.0	0
2001	AGS	358.0	0
2002	AGS	453.0	0
2003	AGS	510.0	0
2004	AGS	528.0	0
2005	AGS	527.0	0
2006	AGS	582.0	0
2007	AGS	566.0	0
2008	AGS	502.0	0
2009	AGS	546.0	0
2010	AGS	640.0	0
2011	AGS	674.0	0
2012	AGS	677.0	0
2013	AGS	607.0	0
2014	AGS	700.0	0
2015	AGS	638.0	0
2016	AGS	696.0	0
