date	key	total	value
1996	AA	202.0	47
1997	AA	291.0	208
1998	AA	286.0	194
1999	AA	234.0	69
2000	AA	214.0	72
2001	AA	251.0	88
2002	AA	261.0	96
2003	AA	259.0	90
2004	AA	269.0	106
2005	AA	271.0	116
2006	AA	268.0	103
2007	AA	251.0	109
2008	AA	291.0	112
2009	AA	262.0	93
2010	AA	320.0	123
2011	AA	341.0	116
2012	AA	361.0	122
2013	AA	346.0	119
2014	AA	304.0	90
2015	AA	275.0	90
2016	AA	264.0	70
1996	AES	202.0	0
1997	AES	291.0	0
1998	AES	286.0	0
1999	AES	234.0	6
2000	AES	214.0	6
2001	AES	251.0	4
2002	AES	261.0	3
2003	AES	259.0	3
2004	AES	269.0	7
2005	AES	271.0	4
2006	AES	268.0	4
2007	AES	251.0	3
2008	AES	291.0	5
2009	AES	262.0	2
2010	AES	320.0	2
2011	AES	341.0	7
2012	AES	361.0	5
2013	AES	346.0	2
2014	AES	304.0	8
2015	AES	275.0	4
2016	AES	264.0	8
1996	AFA	0.0	0
1997	AFA	291.0	0
1998	AFA	286.0	0
1999	AFA	234.0	0
2000	AFA	214.0	0
2001	AFA	251.0	0
2002	AFA	261.0	0
2003	AFA	259.0	0
2004	AFA	269.0	0
2005	AFA	271.0	0
2006	AFA	268.0	0
2007	AFA	251.0	0
2008	AFA	291.0	0
2009	AFA	262.0	0
2010	AFA	320.0	0
2011	AFA	341.0	0
2012	AFA	361.0	0
2013	AFA	346.0	0
2014	AFA	304.0	0
2015	AFA	275.0	0
2016	AFA	264.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	291.0	0
2009	AAT	262.0	0
2010	AAT	320.0	1
2011	AAT	341.0	0
2012	AAT	361.0	0
2013	AAT	346.0	0
2014	AAT	304.0	1
2015	AAT	275.0	0
2016	AAT	264.0	0
1996	AS	202.0	91
1997	AS	291.0	46
1998	AS	286.0	55
1999	AS	234.0	114
2000	AS	214.0	93
2001	AS	251.0	71
2002	AS	261.0	63
2003	AS	259.0	71
2004	AS	269.0	55
2005	AS	271.0	56
2006	AS	268.0	74
2007	AS	251.0	62
2008	AS	291.0	77
2009	AS	262.0	75
2010	AS	320.0	73
2011	AS	341.0	72
2012	AS	361.0	78
2013	AS	346.0	72
2014	AS	304.0	84
2015	AS	275.0	79
2016	AS	264.0	74
1996	AAPS	202.0	57
1997	AAPS	291.0	37
1998	AAPS	286.0	37
1999	AAPS	234.0	30
2000	AAPS	214.0	34
2001	AAPS	251.0	80
2002	AAPS	261.0	91
2003	AAPS	259.0	88
2004	AAPS	269.0	91
2005	AAPS	271.0	88
2006	AAPS	268.0	77
2007	AAPS	251.0	66
2008	AAPS	291.0	81
2009	AAPS	262.0	81
2010	AAPS	320.0	113
2011	AAPS	341.0	139
2012	AAPS	361.0	149
2013	AAPS	346.0	141
2014	AAPS	304.0	110
2015	AAPS	275.0	86
2016	AAPS	264.0	90
1996	AAS	202.0	0
1997	AAS	291.0	0
1998	AAS	286.0	0
1999	AAS	234.0	0
2000	AAS	214.0	0
2001	AAS	251.0	0
2002	AAS	261.0	0
2003	AAS	259.0	0
2004	AAS	269.0	0
2005	AAS	271.0	0
2006	AAS	268.0	0
2007	AAS	251.0	0
2008	AAS	291.0	0
2009	AAS	262.0	0
2010	AAS	320.0	0
2011	AAS	341.0	0
2012	AAS	361.0	0
2013	AAS	346.0	0
2014	AAS	304.0	0
2015	AAS	275.0	0
2016	AAS	264.0	0
1996	AGS	202.0	7
1997	AGS	291.0	0
1998	AGS	286.0	0
1999	AGS	234.0	15
2000	AGS	214.0	9
2001	AGS	251.0	8
2002	AGS	261.0	8
2003	AGS	259.0	7
2004	AGS	269.0	10
2005	AGS	271.0	7
2006	AGS	268.0	10
2007	AGS	251.0	11
2008	AGS	291.0	16
2009	AGS	262.0	11
2010	AGS	320.0	8
2011	AGS	341.0	7
2012	AGS	361.0	7
2013	AGS	346.0	12
2014	AGS	304.0	11
2015	AGS	275.0	16
2016	AGS	264.0	22
