date	key	total	value
1996	AA	1110.0	0
1997	AA	236.0	54
1998	AA	236.0	71
1999	AA	1170.0	0
2000	AA	1095.0	0
2001	AA	1219.0	0
2002	AA	1074.0	0
2003	AA	1132.0	0
2004	AA	1098.0	0
2005	AA	1147.0	0
2006	AA	1262.0	0
2007	AA	1215.0	0
2008	AA	1223.0	0
2009	AA	1162.0	0
2010	AA	1310.0	0
2011	AA	1359.0	0
2012	AA	1412.0	0
2013	AA	1393.0	68
2014	AA	1292.0	182
2015	AA	1236.0	153
2016	AA	1244.0	170
1996	AES	1110.0	14
1997	AES	236.0	0
1998	AES	236.0	2
1999	AES	1170.0	18
2000	AES	1095.0	16
2001	AES	1219.0	12
2002	AES	1074.0	7
2003	AES	1132.0	13
2004	AES	1098.0	8
2005	AES	1147.0	4
2006	AES	1262.0	9
2007	AES	1215.0	12
2008	AES	1223.0	13
2009	AES	1162.0	17
2010	AES	1310.0	22
2011	AES	1359.0	16
2012	AES	1412.0	26
2013	AES	1393.0	25
2014	AES	1292.0	30
2015	AES	1236.0	28
2016	AES	1244.0	18
1996	AFA	0.0	0
1997	AFA	236.0	0
1998	AFA	236.0	0
1999	AFA	1170.0	0
2000	AFA	1095.0	0
2001	AFA	1219.0	0
2002	AFA	1074.0	0
2003	AFA	1132.0	0
2004	AFA	1098.0	0
2005	AFA	1147.0	0
2006	AFA	1262.0	0
2007	AFA	1215.0	0
2008	AFA	1223.0	0
2009	AFA	1162.0	0
2010	AFA	1310.0	0
2011	AFA	1359.0	0
2012	AFA	1412.0	0
2013	AFA	1393.0	0
2014	AFA	1292.0	0
2015	AFA	1236.0	0
2016	AFA	1244.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1223.0	0
2009	AAT	1162.0	0
2010	AAT	1310.0	0
2011	AAT	1359.0	0
2012	AAT	1412.0	0
2013	AAT	1393.0	0
2014	AAT	1292.0	0
2015	AAT	1236.0	0
2016	AAT	1244.0	0
1996	AS	1110.0	0
1997	AS	236.0	115
1998	AS	236.0	114
1999	AS	1170.0	0
2000	AS	1095.0	0
2001	AS	1219.0	0
2002	AS	1074.0	0
2003	AS	1132.0	0
2004	AS	1098.0	0
2005	AS	1147.0	0
2006	AS	1262.0	0
2007	AS	1215.0	0
2008	AS	1223.0	0
2009	AS	1162.0	0
2010	AS	1310.0	0
2011	AS	1359.0	0
2012	AS	1412.0	0
2013	AS	1393.0	229
2014	AS	1292.0	475
2015	AS	1236.0	501
2016	AS	1244.0	527
1996	AAPS	1110.0	469
1997	AAPS	236.0	62
1998	AAPS	236.0	47
1999	AAPS	1170.0	477
2000	AAPS	1095.0	421
2001	AAPS	1219.0	490
2002	AAPS	1074.0	421
2003	AAPS	1132.0	444
2004	AAPS	1098.0	410
2005	AAPS	1147.0	485
2006	AAPS	1262.0	474
2007	AAPS	1215.0	477
2008	AAPS	1223.0	456
2009	AAPS	1162.0	452
2010	AAPS	1310.0	528
2011	AAPS	1359.0	531
2012	AAPS	1412.0	577
2013	AAPS	1393.0	498
2014	AAPS	1292.0	471
2015	AAPS	1236.0	423
2016	AAPS	1244.0	417
1996	AAS	1110.0	526
1997	AAS	236.0	0
1998	AAS	236.0	0
1999	AAS	1170.0	560
2000	AAS	1095.0	561
2001	AAS	1219.0	615
2002	AAS	1074.0	545
2003	AAS	1132.0	574
2004	AAS	1098.0	577
2005	AAS	1147.0	571
2006	AAS	1262.0	668
2007	AAS	1215.0	600
2008	AAS	1223.0	591
2009	AAS	1162.0	547
2010	AAS	1310.0	618
2011	AAS	1359.0	669
2012	AAS	1412.0	662
2013	AAS	1393.0	404
2014	AAS	1292.0	17
2015	AAS	1236.0	0
2016	AAS	1244.0	0
1996	AGS	1110.0	101
1997	AGS	236.0	5
1998	AGS	236.0	2
1999	AGS	1170.0	115
2000	AGS	1095.0	97
2001	AGS	1219.0	102
2002	AGS	1074.0	101
2003	AGS	1132.0	101
2004	AGS	1098.0	103
2005	AGS	1147.0	87
2006	AGS	1262.0	111
2007	AGS	1215.0	126
2008	AGS	1223.0	163
2009	AGS	1162.0	146
2010	AGS	1310.0	142
2011	AGS	1359.0	143
2012	AGS	1412.0	147
2013	AGS	1393.0	169
2014	AGS	1292.0	117
2015	AGS	1236.0	131
2016	AGS	1244.0	112
