date	key	total	value
1996	AA	794.0	41
1997	AA	911.0	0
1998	AA	1257.0	0
1999	AA	835.0	43
2000	AA	853.0	29
2001	AA	865.0	11
2002	AA	818.0	7
2003	AA	858.0	8
2004	AA	836.0	10
2005	AA	839.0	6
2006	AA	817.0	5
2007	AA	859.0	2
2008	AA	786.0	1
2009	AA	777.0	0
2010	AA	779.0	0
2011	AA	838.0	0
2012	AA	753.0	1
2013	AA	713.0	0
2014	AA	790.0	0
2015	AA	732.0	0
2016	AA	759.0	1
1996	AES	794.0	0
1997	AES	911.0	8
1998	AES	1257.0	14
1999	AES	835.0	0
2000	AES	853.0	0
2001	AES	865.0	0
2002	AES	818.0	0
2003	AES	858.0	0
2004	AES	836.0	0
2005	AES	839.0	0
2006	AES	817.0	0
2007	AES	859.0	0
2008	AES	786.0	0
2009	AES	777.0	0
2010	AES	779.0	0
2011	AES	838.0	0
2012	AES	753.0	0
2013	AES	713.0	1
2014	AES	790.0	0
2015	AES	732.0	0
2016	AES	759.0	0
1996	AFA	0.0	0
1997	AFA	911.0	0
1998	AFA	1257.0	0
1999	AFA	835.0	0
2000	AFA	853.0	1
2001	AFA	865.0	2
2002	AFA	818.0	1
2003	AFA	858.0	0
2004	AFA	836.0	2
2005	AFA	839.0	0
2006	AFA	817.0	0
2007	AFA	859.0	0
2008	AFA	786.0	1
2009	AFA	777.0	0
2010	AFA	779.0	0
2011	AFA	838.0	0
2012	AFA	753.0	0
2013	AFA	713.0	0
2014	AFA	790.0	0
2015	AFA	732.0	0
2016	AFA	759.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	786.0	0
2009	AAT	777.0	0
2010	AAT	779.0	0
2011	AAT	838.0	0
2012	AAT	753.0	0
2013	AAT	713.0	0
2014	AAT	790.0	0
2015	AAT	732.0	0
2016	AAT	759.0	0
1996	AS	794.0	331
1997	AS	911.0	0
1998	AS	1257.0	0
1999	AS	835.0	349
2000	AS	853.0	384
2001	AS	865.0	279
2002	AS	818.0	156
2003	AS	858.0	152
2004	AS	836.0	137
2005	AS	839.0	118
2006	AS	817.0	106
2007	AS	859.0	104
2008	AS	786.0	90
2009	AS	777.0	93
2010	AS	779.0	79
2011	AS	838.0	49
2012	AS	753.0	52
2013	AS	713.0	51
2014	AS	790.0	53
2015	AS	732.0	71
2016	AS	759.0	57
1996	AAPS	794.0	379
1997	AAPS	911.0	363
1998	AAPS	1257.0	519
1999	AAPS	835.0	403
2000	AAPS	853.0	359
2001	AAPS	865.0	386
2002	AAPS	818.0	413
2003	AAPS	858.0	346
2004	AAPS	836.0	328
2005	AAPS	839.0	335
2006	AAPS	817.0	314
2007	AAPS	859.0	364
2008	AAPS	786.0	309
2009	AAPS	777.0	268
2010	AAPS	779.0	315
2011	AAPS	838.0	385
2012	AAPS	753.0	348
2013	AAPS	713.0	291
2014	AAPS	790.0	274
2015	AAPS	732.0	294
2016	AAPS	759.0	325
1996	AAS	794.0	0
1997	AAS	911.0	466
1998	AAS	1257.0	592
1999	AAS	835.0	0
2000	AAS	853.0	0
2001	AAS	865.0	121
2002	AAS	818.0	183
2003	AAS	858.0	225
2004	AAS	836.0	276
2005	AAS	839.0	295
2006	AAS	817.0	309
2007	AAS	859.0	286
2008	AAS	786.0	307
2009	AAS	777.0	311
2010	AAS	779.0	291
2011	AAS	838.0	315
2012	AAS	753.0	264
2013	AAS	713.0	275
2014	AAS	790.0	342
2015	AAS	732.0	261
2016	AAS	759.0	288
1996	AGS	794.0	43
1997	AGS	911.0	74
1998	AGS	1257.0	132
1999	AGS	835.0	40
2000	AGS	853.0	80
2001	AGS	865.0	66
2002	AGS	818.0	58
2003	AGS	858.0	127
2004	AGS	836.0	83
2005	AGS	839.0	85
2006	AGS	817.0	83
2007	AGS	859.0	103
2008	AGS	786.0	78
2009	AGS	777.0	105
2010	AGS	779.0	94
2011	AGS	838.0	89
2012	AGS	753.0	88
2013	AGS	713.0	95
2014	AGS	790.0	121
2015	AGS	732.0	106
2016	AGS	759.0	88
