date	key	total	value
1996	AA	489.0	176
1997	AA	773.0	37
1998	AA	730.0	31
1999	AA	429.0	187
2000	AA	419.0	171
2001	AA	405.0	172
2002	AA	448.0	158
2003	AA	435.0	137
2004	AA	414.0	101
2005	AA	429.0	101
2006	AA	519.0	128
2007	AA	495.0	111
2008	AA	410.0	90
2009	AA	494.0	112
2010	AA	516.0	111
2011	AA	558.0	132
2012	AA	572.0	102
2013	AA	556.0	107
2014	AA	511.0	97
2015	AA	464.0	87
2016	AA	518.0	115
1996	AES	489.0	4
1997	AES	773.0	0
1998	AES	730.0	0
1999	AES	429.0	3
2000	AES	419.0	2
2001	AES	405.0	2
2002	AES	448.0	5
2003	AES	435.0	2
2004	AES	414.0	0
2005	AES	429.0	3
2006	AES	519.0	1
2007	AES	495.0	2
2008	AES	410.0	2
2009	AES	494.0	3
2010	AES	516.0	5
2011	AES	558.0	3
2012	AES	572.0	3
2013	AES	556.0	2
2014	AES	511.0	0
2015	AES	464.0	5
2016	AES	518.0	6
1996	AFA	0.0	0
1997	AFA	773.0	0
1998	AFA	730.0	0
1999	AFA	429.0	0
2000	AFA	419.0	0
2001	AFA	405.0	0
2002	AFA	448.0	0
2003	AFA	435.0	0
2004	AFA	414.0	0
2005	AFA	429.0	0
2006	AFA	519.0	0
2007	AFA	495.0	0
2008	AFA	410.0	0
2009	AFA	494.0	0
2010	AFA	516.0	0
2011	AFA	558.0	0
2012	AFA	572.0	0
2013	AFA	556.0	0
2014	AFA	511.0	0
2015	AFA	464.0	0
2016	AFA	518.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	410.0	0
2009	AAT	494.0	0
2010	AAT	516.0	0
2011	AAT	558.0	8
2012	AAT	572.0	3
2013	AAT	556.0	1
2014	AAT	511.0	4
2015	AAT	464.0	0
2016	AAT	518.0	1
1996	AS	489.0	93
1997	AS	773.0	332
1998	AS	730.0	332
1999	AS	429.0	81
2000	AS	419.0	81
2001	AS	405.0	77
2002	AS	448.0	163
2003	AS	435.0	176
2004	AS	414.0	176
2005	AS	429.0	168
2006	AS	519.0	211
2007	AS	495.0	224
2008	AS	410.0	163
2009	AS	494.0	215
2010	AS	516.0	225
2011	AS	558.0	222
2012	AS	572.0	246
2013	AS	556.0	228
2014	AS	511.0	234
2015	AS	464.0	214
2016	AS	518.0	249
1996	AAPS	489.0	153
1997	AAPS	773.0	371
1998	AAPS	730.0	333
1999	AAPS	429.0	116
2000	AAPS	419.0	119
2001	AAPS	405.0	118
2002	AAPS	448.0	103
2003	AAPS	435.0	101
2004	AAPS	414.0	126
2005	AAPS	429.0	142
2006	AAPS	519.0	164
2007	AAPS	495.0	137
2008	AAPS	410.0	142
2009	AAPS	494.0	149
2010	AAPS	516.0	158
2011	AAPS	558.0	178
2012	AAPS	572.0	195
2013	AAPS	556.0	195
2014	AAPS	511.0	160
2015	AAPS	464.0	140
2016	AAPS	518.0	138
1996	AAS	489.0	0
1997	AAS	773.0	0
1998	AAS	730.0	0
1999	AAS	429.0	0
2000	AAS	419.0	0
2001	AAS	405.0	0
2002	AAS	448.0	0
2003	AAS	435.0	0
2004	AAS	414.0	0
2005	AAS	429.0	0
2006	AAS	519.0	0
2007	AAS	495.0	0
2008	AAS	410.0	0
2009	AAS	494.0	0
2010	AAS	516.0	0
2011	AAS	558.0	0
2012	AAS	572.0	0
2013	AAS	556.0	0
2014	AAS	511.0	0
2015	AAS	464.0	0
2016	AAS	518.0	0
1996	AGS	489.0	63
1997	AGS	773.0	33
1998	AGS	730.0	34
1999	AGS	429.0	42
2000	AGS	419.0	46
2001	AGS	405.0	36
2002	AGS	448.0	19
2003	AGS	435.0	19
2004	AGS	414.0	11
2005	AGS	429.0	15
2006	AGS	519.0	15
2007	AGS	495.0	21
2008	AGS	410.0	13
2009	AGS	494.0	15
2010	AGS	516.0	17
2011	AGS	558.0	15
2012	AGS	572.0	23
2013	AGS	556.0	23
2014	AGS	511.0	16
2015	AGS	464.0	18
2016	AGS	518.0	9
