date	key	total	value
1996	AA	712.0	290
1997	AA	416.0	147
1998	AA	408.0	168
1999	AA	675.0	269
2000	AA	766.0	296
2001	AA	841.0	319
2002	AA	767.0	318
2003	AA	731.0	299
2004	AA	784.0	318
2005	AA	787.0	294
2006	AA	938.0	353
2007	AA	918.0	377
2008	AA	1010.0	394
2009	AA	1115.0	401
2010	AA	1165.0	458
2011	AA	1431.0	509
2012	AA	1588.0	592
2013	AA	1484.0	570
2014	AA	1602.0	590
2015	AA	1641.0	652
2016	AA	1607.0	626
1996	AES	712.0	0
1997	AES	416.0	3
1998	AES	408.0	3
1999	AES	675.0	0
2000	AES	766.0	0
2001	AES	841.0	0
2002	AES	767.0	0
2003	AES	731.0	0
2004	AES	784.0	0
2005	AES	787.0	0
2006	AES	938.0	0
2007	AES	918.0	0
2008	AES	1010.0	0
2009	AES	1115.0	0
2010	AES	1165.0	0
2011	AES	1431.0	0
2012	AES	1588.0	0
2013	AES	1484.0	0
2014	AES	1602.0	0
2015	AES	1641.0	0
2016	AES	1607.0	0
1996	AFA	0.0	0
1997	AFA	416.0	0
1998	AFA	408.0	0
1999	AFA	675.0	0
2000	AFA	766.0	0
2001	AFA	841.0	0
2002	AFA	767.0	0
2003	AFA	731.0	0
2004	AFA	784.0	0
2005	AFA	787.0	0
2006	AFA	938.0	0
2007	AFA	918.0	0
2008	AFA	1010.0	0
2009	AFA	1115.0	0
2010	AFA	1165.0	0
2011	AFA	1431.0	0
2012	AFA	1588.0	0
2013	AFA	1484.0	0
2014	AFA	1602.0	0
2015	AFA	1641.0	0
2016	AFA	1607.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1010.0	0
2009	AAT	1115.0	0
2010	AAT	1165.0	0
2011	AAT	1431.0	0
2012	AAT	1588.0	0
2013	AAT	1484.0	0
2014	AAT	1602.0	1
2015	AAT	1641.0	0
2016	AAT	1607.0	0
1996	AS	712.0	92
1997	AS	416.0	90
1998	AS	408.0	76
1999	AS	675.0	87
2000	AS	766.0	65
2001	AS	841.0	59
2002	AS	767.0	38
2003	AS	731.0	45
2004	AS	784.0	39
2005	AS	787.0	38
2006	AS	938.0	35
2007	AS	918.0	56
2008	AS	1010.0	54
2009	AS	1115.0	51
2010	AS	1165.0	45
2011	AS	1431.0	58
2012	AS	1588.0	80
2013	AS	1484.0	113
2014	AS	1602.0	127
2015	AS	1641.0	98
2016	AS	1607.0	116
1996	AAPS	712.0	312
1997	AAPS	416.0	127
1998	AAPS	408.0	122
1999	AAPS	675.0	304
2000	AAPS	766.0	385
2001	AAPS	841.0	434
2002	AAPS	767.0	389
2003	AAPS	731.0	354
2004	AAPS	784.0	371
2005	AAPS	787.0	403
2006	AAPS	938.0	458
2007	AAPS	918.0	385
2008	AAPS	1010.0	437
2009	AAPS	1115.0	528
2010	AAPS	1165.0	532
2011	AAPS	1431.0	611
2012	AAPS	1588.0	696
2013	AAPS	1484.0	657
2014	AAPS	1602.0	731
2015	AAPS	1641.0	626
2016	AAPS	1607.0	656
1996	AAS	712.0	0
1997	AAS	416.0	0
1998	AAS	408.0	0
1999	AAS	675.0	0
2000	AAS	766.0	0
2001	AAS	841.0	0
2002	AAS	767.0	0
2003	AAS	731.0	0
2004	AAS	784.0	0
2005	AAS	787.0	0
2006	AAS	938.0	0
2007	AAS	918.0	0
2008	AAS	1010.0	0
2009	AAS	1115.0	0
2010	AAS	1165.0	0
2011	AAS	1431.0	0
2012	AAS	1588.0	0
2013	AAS	1484.0	0
2014	AAS	1602.0	0
2015	AAS	1641.0	0
2016	AAS	1607.0	0
1996	AGS	712.0	18
1997	AGS	416.0	49
1998	AGS	408.0	39
1999	AGS	675.0	15
2000	AGS	766.0	20
2001	AGS	841.0	29
2002	AGS	767.0	22
2003	AGS	731.0	33
2004	AGS	784.0	56
2005	AGS	787.0	52
2006	AGS	938.0	92
2007	AGS	918.0	100
2008	AGS	1010.0	125
2009	AGS	1115.0	135
2010	AGS	1165.0	130
2011	AGS	1431.0	253
2012	AGS	1588.0	220
2013	AGS	1484.0	144
2014	AGS	1602.0	153
2015	AGS	1641.0	265
2016	AGS	1607.0	209
