date	key	total	value
1996	AA	312.0	68
1997	AA	756.0	293
1998	AA	739.0	299
1999	AA	309.0	49
2000	AA	350.0	64
2001	AA	356.0	76
2002	AA	276.0	47
2003	AA	250.0	79
2004	AA	305.0	75
2005	AA	305.0	71
2006	AA	310.0	65
2007	AA	337.0	65
2008	AA	308.0	71
2009	AA	332.0	75
2010	AA	313.0	86
2011	AA	362.0	95
2012	AA	392.0	77
2013	AA	453.0	127
2014	AA	431.0	109
2015	AA	456.0	109
2016	AA	422.0	119
1996	AES	312.0	0
1997	AES	756.0	0
1998	AES	739.0	0
1999	AES	309.0	1
2000	AES	350.0	2
2001	AES	356.0	1
2002	AES	276.0	3
2003	AES	250.0	4
2004	AES	305.0	6
2005	AES	305.0	3
2006	AES	310.0	3
2007	AES	337.0	4
2008	AES	308.0	4
2009	AES	332.0	1
2010	AES	313.0	1
2011	AES	362.0	4
2012	AES	392.0	1
2013	AES	453.0	3
2014	AES	431.0	8
2015	AES	456.0	6
2016	AES	422.0	4
1996	AFA	0.0	0
1997	AFA	756.0	0
1998	AFA	739.0	0
1999	AFA	309.0	2
2000	AFA	350.0	4
2001	AFA	356.0	2
2002	AFA	276.0	5
2003	AFA	250.0	2
2004	AFA	305.0	3
2005	AFA	305.0	4
2006	AFA	310.0	5
2007	AFA	337.0	4
2008	AFA	308.0	2
2009	AFA	332.0	2
2010	AFA	313.0	1
2011	AFA	362.0	1
2012	AFA	392.0	3
2013	AFA	453.0	4
2014	AFA	431.0	4
2015	AFA	456.0	2
2016	AFA	422.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	308.0	0
2009	AAT	332.0	0
2010	AAT	313.0	2
2011	AAT	362.0	1
2012	AAT	392.0	2
2013	AAT	453.0	2
2014	AAT	431.0	0
2015	AAT	456.0	0
2016	AAT	422.0	0
1996	AS	312.0	32
1997	AS	756.0	97
1998	AS	739.0	112
1999	AS	309.0	45
2000	AS	350.0	48
2001	AS	356.0	53
2002	AS	276.0	34
2003	AS	250.0	22
2004	AS	305.0	38
2005	AS	305.0	35
2006	AS	310.0	53
2007	AS	337.0	50
2008	AS	308.0	43
2009	AS	332.0	43
2010	AS	313.0	33
2011	AS	362.0	25
2012	AS	392.0	34
2013	AS	453.0	34
2014	AS	431.0	42
2015	AS	456.0	40
2016	AS	422.0	47
1996	AAPS	312.0	185
1997	AAPS	756.0	349
1998	AAPS	739.0	323
1999	AAPS	309.0	188
2000	AAPS	350.0	195
2001	AAPS	356.0	185
2002	AAPS	276.0	151
2003	AAPS	250.0	121
2004	AAPS	305.0	152
2005	AAPS	305.0	163
2006	AAPS	310.0	158
2007	AAPS	337.0	182
2008	AAPS	308.0	168
2009	AAPS	332.0	184
2010	AAPS	313.0	169
2011	AAPS	362.0	203
2012	AAPS	392.0	237
2013	AAPS	453.0	197
2014	AAPS	431.0	207
2015	AAPS	456.0	236
2016	AAPS	422.0	208
1996	AAS	312.0	0
1997	AAS	756.0	0
1998	AAS	739.0	0
1999	AAS	309.0	0
2000	AAS	350.0	0
2001	AAS	356.0	0
2002	AAS	276.0	0
2003	AAS	250.0	0
2004	AAS	305.0	0
2005	AAS	305.0	0
2006	AAS	310.0	0
2007	AAS	337.0	0
2008	AAS	308.0	0
2009	AAS	332.0	0
2010	AAS	313.0	0
2011	AAS	362.0	0
2012	AAS	392.0	0
2013	AAS	453.0	0
2014	AAS	431.0	0
2015	AAS	456.0	0
2016	AAS	422.0	0
1996	AGS	312.0	27
1997	AGS	756.0	17
1998	AGS	739.0	5
1999	AGS	309.0	24
2000	AGS	350.0	37
2001	AGS	356.0	39
2002	AGS	276.0	36
2003	AGS	250.0	22
2004	AGS	305.0	31
2005	AGS	305.0	29
2006	AGS	310.0	26
2007	AGS	337.0	32
2008	AGS	308.0	20
2009	AGS	332.0	27
2010	AGS	313.0	21
2011	AGS	362.0	33
2012	AGS	392.0	38
2013	AGS	453.0	86
2014	AGS	431.0	61
2015	AGS	456.0	63
2016	AGS	422.0	44
