date	key	total	value
1996	AA	419.0	155
1997	AA	322.0	45
1998	AA	292.0	41
1999	AA	369.0	148
2000	AA	431.0	202
2001	AA	447.0	193
2002	AA	408.0	184
2003	AA	463.0	201
2004	AA	484.0	138
2005	AA	591.0	217
2006	AA	520.0	207
2007	AA	494.0	175
2008	AA	517.0	201
2009	AA	443.0	172
2010	AA	527.0	226
2011	AA	523.0	201
2012	AA	614.0	233
2013	AA	581.0	215
2014	AA	607.0	216
2015	AA	609.0	198
2016	AA	596.0	201
1996	AES	419.0	0
1997	AES	322.0	0
1998	AES	292.0	1
1999	AES	369.0	0
2000	AES	431.0	0
2001	AES	447.0	0
2002	AES	408.0	0
2003	AES	463.0	0
2004	AES	484.0	0
2005	AES	591.0	0
2006	AES	520.0	0
2007	AES	494.0	0
2008	AES	517.0	0
2009	AES	443.0	0
2010	AES	527.0	0
2011	AES	523.0	5
2012	AES	614.0	11
2013	AES	581.0	8
2014	AES	607.0	5
2015	AES	609.0	7
2016	AES	596.0	10
1996	AFA	0.0	0
1997	AFA	322.0	0
1998	AFA	292.0	0
1999	AFA	369.0	0
2000	AFA	431.0	0
2001	AFA	447.0	0
2002	AFA	408.0	0
2003	AFA	463.0	0
2004	AFA	484.0	0
2005	AFA	591.0	0
2006	AFA	520.0	0
2007	AFA	494.0	0
2008	AFA	517.0	0
2009	AFA	443.0	0
2010	AFA	527.0	0
2011	AFA	523.0	0
2012	AFA	614.0	0
2013	AFA	581.0	0
2014	AFA	607.0	0
2015	AFA	609.0	1
2016	AFA	596.0	1
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	517.0	0
2009	AAT	443.0	0
2010	AAT	527.0	0
2011	AAT	523.0	0
2012	AAT	614.0	0
2013	AAT	581.0	0
2014	AAT	607.0	0
2015	AAT	609.0	0
2016	AAT	596.0	0
1996	AS	419.0	41
1997	AS	322.0	45
1998	AS	292.0	44
1999	AS	369.0	31
2000	AS	431.0	25
2001	AS	447.0	21
2002	AS	408.0	11
2003	AS	463.0	20
2004	AS	484.0	30
2005	AS	591.0	24
2006	AS	520.0	30
2007	AS	494.0	28
2008	AS	517.0	31
2009	AS	443.0	13
2010	AS	527.0	28
2011	AS	523.0	24
2012	AS	614.0	26
2013	AS	581.0	35
2014	AS	607.0	31
2015	AS	609.0	31
2016	AS	596.0	37
1996	AAPS	419.0	205
1997	AAPS	322.0	201
1998	AAPS	292.0	178
1999	AAPS	369.0	178
2000	AAPS	431.0	191
2001	AAPS	447.0	207
2002	AAPS	408.0	185
2003	AAPS	463.0	231
2004	AAPS	484.0	301
2005	AAPS	591.0	335
2006	AAPS	520.0	268
2007	AAPS	494.0	269
2008	AAPS	517.0	263
2009	AAPS	443.0	244
2010	AAPS	527.0	252
2011	AAPS	523.0	267
2012	AAPS	614.0	297
2013	AAPS	581.0	257
2014	AAPS	607.0	284
2015	AAPS	609.0	308
2016	AAPS	596.0	280
1996	AAS	419.0	0
1997	AAS	322.0	0
1998	AAS	292.0	0
1999	AAS	369.0	0
2000	AAS	431.0	0
2001	AAS	447.0	0
2002	AAS	408.0	0
2003	AAS	463.0	0
2004	AAS	484.0	0
2005	AAS	591.0	0
2006	AAS	520.0	0
2007	AAS	494.0	0
2008	AAS	517.0	0
2009	AAS	443.0	0
2010	AAS	527.0	0
2011	AAS	523.0	0
2012	AAS	614.0	0
2013	AAS	581.0	0
2014	AAS	607.0	0
2015	AAS	609.0	0
2016	AAS	596.0	0
1996	AGS	419.0	18
1997	AGS	322.0	31
1998	AGS	292.0	28
1999	AGS	369.0	12
2000	AGS	431.0	13
2001	AGS	447.0	26
2002	AGS	408.0	28
2003	AGS	463.0	11
2004	AGS	484.0	15
2005	AGS	591.0	15
2006	AGS	520.0	15
2007	AGS	494.0	22
2008	AGS	517.0	22
2009	AGS	443.0	14
2010	AGS	527.0	21
2011	AGS	523.0	26
2012	AGS	614.0	47
2013	AGS	581.0	66
2014	AGS	607.0	71
2015	AGS	609.0	64
2016	AGS	596.0	67
