date	key	total	value
1996	AA	351.0	78
1997	AA	408.0	171
1998	AA	377.0	152
1999	AA	406.0	101
2000	AA	359.0	99
2001	AA	404.0	105
2002	AA	413.0	114
2003	AA	423.0	138
2004	AA	425.0	107
2005	AA	481.0	129
2006	AA	434.0	108
2007	AA	487.0	142
2008	AA	443.0	102
2009	AA	422.0	102
2010	AA	494.0	126
2011	AA	501.0	109
2012	AA	599.0	111
2013	AA	502.0	92
2014	AA	523.0	76
2015	AA	451.0	61
2016	AA	479.0	63
1996	AES	351.0	0
1997	AES	408.0	0
1998	AES	377.0	0
1999	AES	406.0	0
2000	AES	359.0	2
2001	AES	404.0	3
2002	AES	413.0	2
2003	AES	423.0	1
2004	AES	425.0	2
2005	AES	481.0	1
2006	AES	434.0	4
2007	AES	487.0	0
2008	AES	443.0	2
2009	AES	422.0	0
2010	AES	494.0	1
2011	AES	501.0	5
2012	AES	599.0	0
2013	AES	502.0	0
2014	AES	523.0	3
2015	AES	451.0	5
2016	AES	479.0	6
1996	AFA	0.0	0
1997	AFA	408.0	0
1998	AFA	377.0	0
1999	AFA	406.0	0
2000	AFA	359.0	0
2001	AFA	404.0	1
2002	AFA	413.0	0
2003	AFA	423.0	1
2004	AFA	425.0	0
2005	AFA	481.0	1
2006	AFA	434.0	1
2007	AFA	487.0	1
2008	AFA	443.0	0
2009	AFA	422.0	0
2010	AFA	494.0	0
2011	AFA	501.0	0
2012	AFA	599.0	3
2013	AFA	502.0	0
2014	AFA	523.0	1
2015	AFA	451.0	1
2016	AFA	479.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	443.0	0
2009	AAT	422.0	0
2010	AAT	494.0	0
2011	AAT	501.0	0
2012	AAT	599.0	0
2013	AAT	502.0	0
2014	AAT	523.0	0
2015	AAT	451.0	0
2016	AAT	479.0	0
1996	AS	351.0	161
1997	AS	408.0	25
1998	AS	377.0	28
1999	AS	406.0	193
2000	AS	359.0	153
2001	AS	404.0	168
2002	AS	413.0	199
2003	AS	423.0	173
2004	AS	425.0	201
2005	AS	481.0	217
2006	AS	434.0	189
2007	AS	487.0	229
2008	AS	443.0	227
2009	AS	422.0	193
2010	AS	494.0	225
2011	AS	501.0	224
2012	AS	599.0	305
2013	AS	502.0	234
2014	AS	523.0	286
2015	AS	451.0	236
2016	AS	479.0	258
1996	AAPS	351.0	112
1997	AAPS	408.0	196
1998	AAPS	377.0	185
1999	AAPS	406.0	112
2000	AAPS	359.0	105
2001	AAPS	404.0	127
2002	AAPS	413.0	98
2003	AAPS	423.0	110
2004	AAPS	425.0	115
2005	AAPS	481.0	133
2006	AAPS	434.0	132
2007	AAPS	487.0	115
2008	AAPS	443.0	112
2009	AAPS	422.0	127
2010	AAPS	494.0	142
2011	AAPS	501.0	163
2012	AAPS	599.0	180
2013	AAPS	502.0	176
2014	AAPS	523.0	157
2015	AAPS	451.0	148
2016	AAPS	479.0	152
1996	AAS	351.0	0
1997	AAS	408.0	0
1998	AAS	377.0	0
1999	AAS	406.0	0
2000	AAS	359.0	0
2001	AAS	404.0	0
2002	AAS	413.0	0
2003	AAS	423.0	0
2004	AAS	425.0	0
2005	AAS	481.0	0
2006	AAS	434.0	0
2007	AAS	487.0	0
2008	AAS	443.0	0
2009	AAS	422.0	0
2010	AAS	494.0	0
2011	AAS	501.0	0
2012	AAS	599.0	0
2013	AAS	502.0	0
2014	AAS	523.0	0
2015	AAS	451.0	0
2016	AAS	479.0	0
1996	AGS	351.0	0
1997	AGS	408.0	16
1998	AGS	377.0	12
1999	AGS	406.0	0
2000	AGS	359.0	0
2001	AGS	404.0	0
2002	AGS	413.0	0
2003	AGS	423.0	0
2004	AGS	425.0	0
2005	AGS	481.0	0
2006	AGS	434.0	0
2007	AGS	487.0	0
2008	AGS	443.0	0
2009	AGS	422.0	0
2010	AGS	494.0	0
2011	AGS	501.0	0
2012	AGS	599.0	0
2013	AGS	502.0	0
2014	AGS	523.0	0
2015	AGS	451.0	0
2016	AGS	479.0	0
