date	key	total	value
1996	AA	819.0	373
1997	AA	364.0	73
1998	AA	412.0	88
1999	AA	778.0	399
2000	AA	741.0	406
2001	AA	719.0	384
2002	AA	814.0	448
2003	AA	849.0	451
2004	AA	823.0	411
2005	AA	910.0	486
2006	AA	872.0	475
2007	AA	877.0	454
2008	AA	947.0	508
2009	AA	968.0	511
2010	AA	1073.0	557
2011	AA	1120.0	617
2012	AA	1253.0	673
2013	AA	1785.0	1048
2014	AA	1390.0	844
2015	AA	1388.0	778
2016	AA	1477.0	864
1996	AES	819.0	0
1997	AES	364.0	0
1998	AES	412.0	0
1999	AES	778.0	0
2000	AES	741.0	0
2001	AES	719.0	7
2002	AES	814.0	5
2003	AES	849.0	3
2004	AES	823.0	5
2005	AES	910.0	7
2006	AES	872.0	3
2007	AES	877.0	5
2008	AES	947.0	4
2009	AES	968.0	5
2010	AES	1073.0	2
2011	AES	1120.0	12
2012	AES	1253.0	11
2013	AES	1785.0	27
2014	AES	1390.0	23
2015	AES	1388.0	18
2016	AES	1477.0	21
1996	AFA	0.0	0
1997	AFA	364.0	0
1998	AFA	412.0	0
1999	AFA	778.0	0
2000	AFA	741.0	0
2001	AFA	719.0	0
2002	AFA	814.0	0
2003	AFA	849.0	1
2004	AFA	823.0	1
2005	AFA	910.0	1
2006	AFA	872.0	0
2007	AFA	877.0	0
2008	AFA	947.0	0
2009	AFA	968.0	2
2010	AFA	1073.0	1
2011	AFA	1120.0	2
2012	AFA	1253.0	1
2013	AFA	1785.0	6
2014	AFA	1390.0	4
2015	AFA	1388.0	4
2016	AFA	1477.0	1
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	947.0	0
2009	AAT	968.0	0
2010	AAT	1073.0	0
2011	AAT	1120.0	0
2012	AAT	1253.0	1
2013	AAT	1785.0	2
2014	AAT	1390.0	1
2015	AAT	1388.0	1
2016	AAT	1477.0	0
1996	AS	819.0	147
1997	AS	364.0	170
1998	AS	412.0	191
1999	AS	778.0	104
2000	AS	741.0	76
2001	AS	719.0	75
2002	AS	814.0	77
2003	AS	849.0	81
2004	AS	823.0	84
2005	AS	910.0	76
2006	AS	872.0	89
2007	AS	877.0	81
2008	AS	947.0	91
2009	AS	968.0	70
2010	AS	1073.0	89
2011	AS	1120.0	98
2012	AS	1253.0	138
2013	AS	1785.0	177
2014	AS	1390.0	127
2015	AS	1388.0	178
2016	AS	1477.0	147
1996	AAPS	819.0	299
1997	AAPS	364.0	121
1998	AAPS	412.0	133
1999	AAPS	778.0	275
2000	AAPS	741.0	259
2001	AAPS	719.0	253
2002	AAPS	814.0	284
2003	AAPS	849.0	313
2004	AAPS	823.0	322
2005	AAPS	910.0	340
2006	AAPS	872.0	305
2007	AAPS	877.0	337
2008	AAPS	947.0	344
2009	AAPS	968.0	380
2010	AAPS	1073.0	424
2011	AAPS	1120.0	391
2012	AAPS	1253.0	429
2013	AAPS	1785.0	525
2014	AAPS	1390.0	391
2015	AAPS	1388.0	409
2016	AAPS	1477.0	434
1996	AAS	819.0	0
1997	AAS	364.0	0
1998	AAS	412.0	0
1999	AAS	778.0	0
2000	AAS	741.0	0
2001	AAS	719.0	0
2002	AAS	814.0	0
2003	AAS	849.0	0
2004	AAS	823.0	0
2005	AAS	910.0	0
2006	AAS	872.0	0
2007	AAS	877.0	0
2008	AAS	947.0	0
2009	AAS	968.0	0
2010	AAS	1073.0	0
2011	AAS	1120.0	0
2012	AAS	1253.0	0
2013	AAS	1785.0	0
2014	AAS	1390.0	0
2015	AAS	1388.0	0
2016	AAS	1477.0	0
1996	AGS	819.0	0
1997	AGS	364.0	0
1998	AGS	412.0	0
1999	AGS	778.0	0
2000	AGS	741.0	0
2001	AGS	719.0	0
2002	AGS	814.0	0
2003	AGS	849.0	0
2004	AGS	823.0	0
2005	AGS	910.0	0
2006	AGS	872.0	0
2007	AGS	877.0	0
2008	AGS	947.0	0
2009	AGS	968.0	0
2010	AGS	1073.0	0
2011	AGS	1120.0	0
2012	AGS	1253.0	0
2013	AGS	1785.0	0
2014	AGS	1390.0	0
2015	AGS	1388.0	0
2016	AGS	1477.0	10
