date	key	total	value
1996	AA	517.0	86
1997	AA	786.0	364
1998	AA	772.0	346
1999	AA	615.0	114
2000	AA	659.0	107
2001	AA	645.0	115
2002	AA	621.0	97
2003	AA	650.0	122
2004	AA	551.0	130
2005	AA	780.0	154
2006	AA	712.0	126
2007	AA	706.0	123
2008	AA	728.0	116
2009	AA	676.0	124
2010	AA	710.0	113
2011	AA	809.0	131
2012	AA	835.0	126
2013	AA	835.0	129
2014	AA	938.0	124
2015	AA	933.0	139
2016	AA	892.0	105
1996	AES	517.0	0
1997	AES	786.0	0
1998	AES	772.0	0
1999	AES	615.0	0
2000	AES	659.0	0
2001	AES	645.0	0
2002	AES	621.0	0
2003	AES	650.0	0
2004	AES	551.0	0
2005	AES	780.0	0
2006	AES	712.0	5
2007	AES	706.0	12
2008	AES	728.0	7
2009	AES	676.0	3
2010	AES	710.0	4
2011	AES	809.0	4
2012	AES	835.0	2
2013	AES	835.0	3
2014	AES	938.0	6
2015	AES	933.0	3
2016	AES	892.0	3
1996	AFA	0.0	0
1997	AFA	786.0	0
1998	AFA	772.0	0
1999	AFA	615.0	0
2000	AFA	659.0	0
2001	AFA	645.0	0
2002	AFA	621.0	0
2003	AFA	650.0	0
2004	AFA	551.0	0
2005	AFA	780.0	0
2006	AFA	712.0	0
2007	AFA	706.0	0
2008	AFA	728.0	0
2009	AFA	676.0	0
2010	AFA	710.0	0
2011	AFA	809.0	0
2012	AFA	835.0	0
2013	AFA	835.0	0
2014	AFA	938.0	0
2015	AFA	933.0	0
2016	AFA	892.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	728.0	0
2009	AAT	676.0	0
2010	AAT	710.0	0
2011	AAT	809.0	0
2012	AAT	835.0	0
2013	AAT	835.0	0
2014	AAT	938.0	0
2015	AAT	933.0	0
2016	AAT	892.0	0
1996	AS	517.0	135
1997	AS	786.0	134
1998	AS	772.0	102
1999	AS	615.0	171
2000	AS	659.0	165
2001	AS	645.0	201
2002	AS	621.0	185
2003	AS	650.0	177
2004	AS	551.0	189
2005	AS	780.0	215
2006	AS	712.0	191
2007	AS	706.0	211
2008	AS	728.0	211
2009	AS	676.0	196
2010	AS	710.0	217
2011	AS	809.0	189
2012	AS	835.0	196
2013	AS	835.0	173
2014	AS	938.0	216
2015	AS	933.0	221
2016	AS	892.0	196
1996	AAPS	517.0	286
1997	AAPS	786.0	288
1998	AAPS	772.0	324
1999	AAPS	615.0	301
2000	AAPS	659.0	347
2001	AAPS	645.0	287
2002	AAPS	621.0	294
2003	AAPS	650.0	301
2004	AAPS	551.0	176
2005	AAPS	780.0	373
2006	AAPS	712.0	329
2007	AAPS	706.0	313
2008	AAPS	728.0	348
2009	AAPS	676.0	297
2010	AAPS	710.0	325
2011	AAPS	809.0	403
2012	AAPS	835.0	389
2013	AAPS	835.0	361
2014	AAPS	938.0	402
2015	AAPS	933.0	377
2016	AAPS	892.0	353
1996	AAS	517.0	0
1997	AAS	786.0	0
1998	AAS	772.0	0
1999	AAS	615.0	0
2000	AAS	659.0	0
2001	AAS	645.0	0
2002	AAS	621.0	0
2003	AAS	650.0	0
2004	AAS	551.0	0
2005	AAS	780.0	0
2006	AAS	712.0	0
2007	AAS	706.0	0
2008	AAS	728.0	0
2009	AAS	676.0	0
2010	AAS	710.0	0
2011	AAS	809.0	0
2012	AAS	835.0	0
2013	AAS	835.0	0
2014	AAS	938.0	0
2015	AAS	933.0	0
2016	AAS	892.0	0
1996	AGS	517.0	10
1997	AGS	786.0	0
1998	AGS	772.0	0
1999	AGS	615.0	29
2000	AGS	659.0	40
2001	AGS	645.0	42
2002	AGS	621.0	45
2003	AGS	650.0	50
2004	AGS	551.0	56
2005	AGS	780.0	38
2006	AGS	712.0	61
2007	AGS	706.0	47
2008	AGS	728.0	46
2009	AGS	676.0	56
2010	AGS	710.0	51
2011	AGS	809.0	82
2012	AGS	835.0	122
2013	AGS	835.0	169
2014	AGS	938.0	190
2015	AGS	933.0	193
2016	AGS	892.0	235
