date	key	total	value
1996	AA	423.0	10
1997	AA	589.0	99
1998	AA	595.0	109
1999	AA	465.0	25
2000	AA	466.0	35
2001	AA	479.0	38
2002	AA	484.0	40
2003	AA	476.0	45
2004	AA	504.0	57
2005	AA	563.0	59
2006	AA	574.0	65
2007	AA	555.0	75
2008	AA	636.0	94
2009	AA	748.0	81
2010	AA	644.0	91
2011	AA	767.0	91
2012	AA	746.0	94
2013	AA	704.0	59
2014	AA	731.0	81
2015	AA	828.0	66
2016	AA	819.0	71
1996	AES	423.0	0
1997	AES	589.0	0
1998	AES	595.0	0
1999	AES	465.0	1
2000	AES	466.0	0
2001	AES	479.0	0
2002	AES	484.0	0
2003	AES	476.0	1
2004	AES	504.0	0
2005	AES	563.0	0
2006	AES	574.0	0
2007	AES	555.0	2
2008	AES	636.0	0
2009	AES	748.0	6
2010	AES	644.0	3
2011	AES	767.0	1
2012	AES	746.0	1
2013	AES	704.0	1
2014	AES	731.0	7
2015	AES	828.0	8
2016	AES	819.0	5
1996	AFA	0.0	0
1997	AFA	589.0	0
1998	AFA	595.0	0
1999	AFA	465.0	3
2000	AFA	466.0	5
2001	AFA	479.0	1
2002	AFA	484.0	1
2003	AFA	476.0	0
2004	AFA	504.0	1
2005	AFA	563.0	2
2006	AFA	574.0	2
2007	AFA	555.0	5
2008	AFA	636.0	8
2009	AFA	748.0	4
2010	AFA	644.0	10
2011	AFA	767.0	5
2012	AFA	746.0	5
2013	AFA	704.0	7
2014	AFA	731.0	11
2015	AFA	828.0	8
2016	AFA	819.0	5
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	636.0	0
2009	AAT	748.0	0
2010	AAT	644.0	0
2011	AAT	767.0	0
2012	AAT	746.0	0
2013	AAT	704.0	0
2014	AAT	731.0	0
2015	AAT	828.0	0
2016	AAT	819.0	0
1996	AS	423.0	200
1997	AS	589.0	185
1998	AS	595.0	188
1999	AS	465.0	225
2000	AS	466.0	224
2001	AS	479.0	251
2002	AS	484.0	232
2003	AS	476.0	235
2004	AS	504.0	255
2005	AS	563.0	268
2006	AS	574.0	289
2007	AS	555.0	234
2008	AS	636.0	270
2009	AS	748.0	298
2010	AS	644.0	243
2011	AS	767.0	286
2012	AS	746.0	268
2013	AS	704.0	259
2014	AS	731.0	300
2015	AS	828.0	354
2016	AS	819.0	370
1996	AAPS	423.0	213
1997	AAPS	589.0	295
1998	AAPS	595.0	288
1999	AAPS	465.0	209
2000	AAPS	466.0	200
2001	AAPS	479.0	184
2002	AAPS	484.0	209
2003	AAPS	476.0	185
2004	AAPS	504.0	181
2005	AAPS	563.0	208
2006	AAPS	574.0	205
2007	AAPS	555.0	230
2008	AAPS	636.0	262
2009	AAPS	748.0	355
2010	AAPS	644.0	293
2011	AAPS	767.0	360
2012	AAPS	746.0	361
2013	AAPS	704.0	364
2014	AAPS	731.0	320
2015	AAPS	828.0	378
2016	AAPS	819.0	331
1996	AAS	423.0	0
1997	AAS	589.0	0
1998	AAS	595.0	0
1999	AAS	465.0	0
2000	AAS	466.0	0
2001	AAS	479.0	0
2002	AAS	484.0	0
2003	AAS	476.0	0
2004	AAS	504.0	0
2005	AAS	563.0	0
2006	AAS	574.0	0
2007	AAS	555.0	0
2008	AAS	636.0	0
2009	AAS	748.0	0
2010	AAS	644.0	0
2011	AAS	767.0	0
2012	AAS	746.0	0
2013	AAS	704.0	0
2014	AAS	731.0	0
2015	AAS	828.0	0
2016	AAS	819.0	0
1996	AGS	423.0	0
1997	AGS	589.0	10
1998	AGS	595.0	10
1999	AGS	465.0	2
2000	AGS	466.0	2
2001	AGS	479.0	5
2002	AGS	484.0	2
2003	AGS	476.0	10
2004	AGS	504.0	10
2005	AGS	563.0	26
2006	AGS	574.0	13
2007	AGS	555.0	9
2008	AGS	636.0	2
2009	AGS	748.0	4
2010	AGS	644.0	4
2011	AGS	767.0	24
2012	AGS	746.0	17
2013	AGS	704.0	14
2014	AGS	731.0	12
2015	AGS	828.0	14
2016	AGS	819.0	37
